Subset,Recording,Sensor,NumberOfTimeGaps,MeanGap_ms,MedianGap_ms,StdGap_ms,MinGap_ms,MaxGap_ms,MeanOverMedianRatio
quasi_static,static_bend_x_100,ATI force/torque,5998,5.00091996817797,0.239014625549316,7.03334743059718,0.0579357147216797,16.1471366882324,20.9230709488366
quasi_static,static_bend_x_100,FBG shape sensor,2999,10.0034354885008,8.2859992980957,9.03115277299355,0.0188350677490234,47.8489398956299,1.20726965192959
quasi_static,static_bend_x_100,OptiTrack motion capture,3772,8.33342082932797,8.32104682922363,0.527153441985411,6.66499137878418,10.0471973419189,1.00148707252324
quasi_static,static_bend_x_100,Motor encoders,3029,8.56061373736135,2.01106071472168,27.6463624129619,1.74999237060547,140.64621925354,4.25676543462592
quasi_static,static_bend_x_100,Mark-10 (dataMark10_+x.csv),9992,2.936651722921,2.82883644104004,0.37391483345795,2.52103805541992,18.5761451721191,1.03811294294601
quasi_static,static_bend_x_100,Mark-10 (dataMark10_+y.csv),11568,2.53387551914442,2.44998931884766,0.319466087459299,2.23302841186523,17.6489353179932,1.03423941469925
quasi_static,static_bend_x_100,Mark-10 (dataMark10_-x.csv),9860,2.98137485860086,2.87795066833496,0.37453083541364,2.37011909484863,18.9089775085449,1.0359367488136
quasi_static,static_bend_x_100,Mark-10 (dataMark10_-y.csv),11203,2.62628761049063,2.53796577453613,0.334389329708993,2.29811668395996,17.941951751709,1.0348002470485
quasi_static,static_bend_x_150,ATI force/torque,5996,5.00135890160345,0.23496150970459,7.03658942898354,0.0579357147216797,16.2820816040039,21.2858646843541
quasi_static,static_bend_x_150,FBG shape sensor,3000,10.0026833216349,8.51702690124512,8.96382051828857,0.0200271606445312,48.069953918457,1.17443368884659
quasi_static,static_bend_x_150,OptiTrack motion capture,3772,8.33320655600264,8.33034515380859,0.537073767942662,6.63089752197266,9.93824005126953,1.00034349143297
quasi_static,static_bend_x_150,Motor encoders,4543,5.69186970548905,1.99604034423828,21.0129891801396,1.74093246459961,139.642000198364,2.85158049130573
quasi_static,static_bend_x_150,Mark-10 (dataMark10_+x.csv),9615,3.05252251250634,2.9900074005127,0.394229814895818,2.52413749694824,17.9679393768311,1.02090801246275
quasi_static,static_bend_x_150,Mark-10 (dataMark10_+y.csv),11436,2.5644955329855,2.47287750244141,0.332206566745228,2.30002403259277,17.8968906402588,1.03704915850205
quasi_static,static_bend_x_150,Mark-10 (dataMark10_-x.csv),9900,2.97069142563174,2.87413597106934,0.37208300484633,2.40206718444824,18.7790393829346,1.03359460218108
quasi_static,static_bend_x_150,Mark-10 (dataMark10_-y.csv),11171,2.635498267131,2.54297256469727,0.336172390494424,2.30598449707031,18.4829235076904,1.03638486066197
