Subset,Recording,DiskNumber,NumberOfSamples,NumberOfValidSamples,NumberOfInvalidSamples
dynamic_motion,plane_x_slow,2,4981,4981,0
dynamic_motion,plane_x_slow,3,4981,4981,0
dynamic_motion,plane_x_slow,4,4981,4981,0
dynamic_motion,plane_y_fast,0,4970,4970,0
dynamic_motion,plane_y_fast,1,4970,4970,0
dynamic_motion,plane_y_fast,2,4970,4970,0
dynamic_motion,plane_y_fast,3,4970,4970,0
dynamic_motion,plane_y_fast,4,4970,4969,0
dynamic_motion,plane_y_slow,0,4981,4981,0
dynamic_motion,plane_y_slow,1,4981,4981,0
dynamic_motion,plane_y_slow,2,4981,4981,0
dynamic_motion,plane_y_slow,3,4981,4981,0
dynamic_motion,plane_y_slow,4,4981,4981,0
dynamic_motion,star_fast,0,10978,10978,0
dynamic_motion,star_fast,1,10978,10978,0
dynamic_motion,star_fast,2,10978,10978,0
dynamic_motion,star_fast,3,10978,10978,0
dynamic_motion,star_fast,4,10978,10977,0
dynamic_motion,star_slow,0,10979,10979,0
dynamic_motion,star_slow,1,10979,10979,0
dynamic_motion,star_slow,2,10979,10979,0
dynamic_motion,star_slow,3,10979,10978,0
dynamic_motion,star_slow,4,10979,10978,0
contact_motion,plane_y_contact_midway,0,4980,4980,0
contact_motion,plane_y_contact_midway,1,4980,4980,0
contact_motion,plane_y_contact_midway,2,4980,4979,0
contact_motion,plane_y_contact_midway,3,4980,4979,0
contact_motion,plane_y_contact_midway,4,4980,4979,0
contact_motion,plane_y_contact_midway,5,4980,4979,0
contact_motion,plane_y_poke_x,0,4979,4979,0
contact_motion,plane_y_poke_x,1,4979,4979,0
contact_motion,plane_y_poke_x,2,4979,4979,0
contact_motion,plane_y_poke_x,3,4979,4978,0
contact_motion,plane_y_poke_x,4,4979,4978,0
contact_motion,plane_y_poke_x,5,4979,4978,0
contact_motion,plane_y_poke_y,0,4979,4979,0
contact_motion,plane_y_poke_y,1,4979,4979,0
contact_motion,plane_y_poke_y,2,4979,4979,0
contact_motion,plane_y_poke_y,3,4979,4979,0
contact_motion,plane_y_poke_y,4,4979,4979,0
contact_motion,plane_y_poke_y,5,4979,4979,0
contact_motion,push_retract,0,3775,3775,0
contact_motion,push_retract,1,3775,3775,0
contact_motion,push_retract,2,3775,3775,0
contact_motion,push_retract,3,3775,3775,0
contact_motion,push_retract,4,3775,3775,0
contact_motion,push_retract,5,3775,3775,0
