Trajectory,Delta_OF_px_ms,Delta_OF_px_r,Delta_OF_py_ms,Delta_OF_py_r,Delta_OF_pz_ms,Delta_OF_pz_r,ValidAxes,Mean_Lag_OF_ms,Mean_Lag_MM_ms,N_Valid_MM,Mean_Lag_MF_ms,N_Valid_MF
circle_fast,-13.2833491611084,0.999207687732256,-12.2814921874465,0.999378000506907,-13.9676107442838,0.998973889534323,"px, py, pz",-13.1774840309462,-2.28341677774391,2,-13.4920019049735,2
Lissajous_fast,-9.52153831777183,0.998892793031032,-4.57646473426925,0.999224176399456,-15.1420768647804,0.999222918202543,"px, py, pz",-9.74669330560715,-0.631575901460203,2,-2.88246359215949,2
plane_x_fast,-13.019037003838,0.999589466128957,-33.5878601241985,0.805839536847533,-16.7046705003063,0.998921302123489,"px, pz",-14.8618537520722,-9.83051948810424,2,-4.51774568852902,1
plane_y_fast,-30.141637266753,0.933243084301351,-8.79057261460205,0.999203128601633,-15.4684884871651,0.993195194402972,"py, pz",-12.1295305508836,15.8758403729913,2,4.84510556924605,1
