time (us),x(mdps),y(mdps),z(mdps)
1765493934855505,595,-945,-218.75,
1765493934858705,271.25,-595,-148.75,
1765493934862121,323.75,-612.5,-630,
1765493934865816,428.75,-953.75,-420,
1765493934869222,306.25,-953.75,-560,
1765493934872828,332.5,-927.5,-358.75,
1765493934875494,481.25,-875,-752.5,
1765493934878734,726.25,-682.5,-350,
1765493934882160,315,-988.75,-218.75,
1765493934885449,297.5,-796.25,-148.75,
1765493934889107,428.75,-1233.75,-192.5,
1765493934892074,358.75,-840,78.75,
1765493934895371,306.25,-1085,-236.25,
1765493934898757,971.25,-901.25,-70,
1765493934902162,516.25,-875,35,
1765493934905367,463.75,-866.25,-175,
1765493934908720,428.75,-743.75,-420,
1765493934912028,428.75,-1006.25,-78.75,
1765493934915399,516.25,-1032.5,-446.25,
1765493934918842,603.75,-945,-350,
1765493934921995,350,-918.75,-621.25,
1765493934925492,840,-700,-367.5,
1765493934928818,376.25,-752.5,-875,
1765493934932203,78.75,-726.25,-638.75,
1765493934935330,201.25,-997.5,-577.5,
1765493934938701,148.75,-656.25,-770,
1765493934942160,568.75,-953.75,-393.75,
1765493934945401,472.5,-945,-428.75,
1765493934949120,586.25,-813.75,-498.75,
1765493934952040,420,-1120,-210,
1765493934955345,385,-988.75,35,
1765493934958702,717.5,-743.75,113.75,
1765493934962122,350,-1032.5,87.5,
1765493934965351,525,-1111.25,-175,
1765493934970330,612.5,-770,-393.75,
1765493934972036,315,-901.25,-35,
1765493934975450,350,-866.25,-411.25,
1765493934978755,525,-901.25,-78.75,
1765493934982227,288.75,-595,-297.5,
1765493934988327,201.25,-927.5,-455,
1765493934989870,341.25,-472.5,-455,
1765493934993226,498.75,-778.75,-227.5,
1765493934996349,490,-910,-813.75,
1765493934999702,428.75,-962.5,-560,
1765493935002886,315,-971.25,-288.75,
1765493935006284,358.75,-918.75,-437.5,
1765493935009661,411.25,-927.5,-630,
1765493935013014,96.25,-980,-446.25,
1765493935016318,227.5,-822.5,-385,
1765493935019735,612.5,-708.75,-402.5,
1765493935022983,455,-892.5,-140,
1765493935026284,516.25,-988.75,35,
1765493935029661,297.5,-918.75,-227.5,
1765493935033000,78.75,-796.25,-411.25,
1765493935036284,113.75,-805,-358.75,
1765493935039677,420,-918.75,-288.75,
1765493935042957,358.75,-612.5,-96.25,
1765493935046707,498.75,-1058.75,-525,
1765493935049702,490,-883.75,-481.25,
1765493935052928,385,-761.25,-647.5,
1765493935056679,411.25,-1076.25,-533.75,
1765493935059621,551.25,-840,-700,
1765493935062976,341.25,-848.75,-385,
1765493935066726,315,-752.5,-253.75,
1765493935069708,516.25,-805,-603.75,
1765493935072973,280,-1120,-280,
1765493935076381,288.75,-1120,-262.5,
1765493935079974,586.25,-1128.75,-280,
1765493935083055,210,-577.5,-411.25,
1765493935086318,516.25,-752.5,-218.75,
1765493935089723,271.25,-787.5,-122.5,
1765493935092954,603.75,-997.5,-332.5,
1765493935096372,297.5,-1050,-481.25,
1765493935099703,350,-796.25,-376.25,
1765493935102952,507.5,-673.75,-332.5,
1765493935106622,428.75,-770,0,
1765493935109703,726.25,-560,-332.5,
1765493935113333,595,-490,-472.5,
1765493935116284,446.25,-805,-350,
1765493935119703,323.75,-866.25,-35,
1765493935123869,411.25,-831.25,-175,
1765493935126295,122.5,-805,-297.5,
1765493935130431,113.75,-936.25,-227.5,
1765493935132872,367.5,-1233.75,-420,
1765493935136327,586.25,-717.5,-332.5,
1765493935139661,227.5,-988.75,-140,
1765493935143038,612.5,-787.5,-96.25,
1765493935146303,157.5,-831.25,-166.25,
1765493935149666,-8.75,-953.75,-402.5,
1765493935153167,437.5,-1102.5,-113.75,
