time (us),x(mdps),y(mdps),z(mdps)
1762298375248322,-1128.75,-1023.75,-140,
1762298375250875,-612.5,-1067.5,-157.5,
1762298375254247,-700,-805,61.25,
1762298375258471,-402.5,-971.25,35,
1762298375261014,-26.25,-1041.25,-8.75,
1762298375264340,341.25,-1041.25,-78.75,
1762298375267826,770,-892.5,-113.75,
1762298375271302,743.75,-936.25,-17.5,
1762298375274708,1653.75,-883.75,105,
1762298375278611,1645,-1172.5,262.5,
1762298375281178,1872.5,-918.75,192.5,
1762298375284613,2327.5,-988.75,280,
1762298375287927,2633.75,-883.75,560,
1762298375291142,2633.75,-770,420,
1762298375294421,2861.25,-813.75,525,
1762298375298173,2931.25,-560,761.25,
1762298375301641,3211.25,-446.25,708.75,
1762298375304680,3272.5,-796.25,420,
1762298375309732,3018.75,-271.25,682.5,
1762298375311892,3018.75,-393.75,691.25,
1762298375315542,2695,-630,761.25,
1762298375318893,2765,-542.5,586.25,
1762298375322212,2800,-490,708.75,
1762298375326439,2345,-892.5,560,
1762298375330564,2065,-726.25,533.75,
1762298375333590,1793.75,-647.5,691.25,
1762298375337018,1487.5,-927.5,516.25,
1762298375341439,988.75,-612.5,761.25,
1762298375345317,1085,-586.25,743.75,
1762298375349314,682.5,-385,472.5,
1762298375353064,525,-393.75,822.5,
1762298375356315,-43.75,-271.25,708.75,
1762298375359815,131.25,-498.75,778.75,
1762298375362601,175,-297.5,743.75,
1762298375365983,43.75,-236.25,743.75,
1762298375369666,-376.25,-26.25,735,
1762298375373817,-227.5,-218.75,708.75,
1762298375377997,-700,-70,822.5,
1762298375382389,-700,-288.75,603.75,
1762298375386794,-726.25,-376.25,201.25,
1762298375391516,-437.5,-236.25,533.75,
1762298375396159,-831.25,-367.5,280,
1762298375400944,-743.75,-507.5,358.75,
1762298375405056,-910,-358.75,140,
1762298375409172,-962.5,-446.25,297.5,
1762298375415401,-700,-717.5,192.5,
1762298375420081,-420,-621.25,-113.75,
1762298375423926,-638.75,-910,17.5,
1762298375428183,-271.25,-945,0,
1762298375431829,-140,-1076.25,131.25,
1762298375435626,61.25,-918.75,-61.25,
1762298375438738,393.75,-1023.75,26.25,
1762298375442694,210,-1093.75,26.25,
1762298375447135,778.75,-1216.25,61.25,
1762298375450122,857.5,-1295,166.25,
1762298375453635,1146.25,-962.5,96.25,
1762298375457008,1155,-1067.5,-148.75,
1762298375461172,1181.25,-1015,-96.25,
1762298375465251,1461.25,-1251.25,183.75,
1762298375469024,1741.25,-1015,-113.75,
1762298375472195,1645,-997.5,262.5,
1762298375475333,2178.75,-1225,306.25,
1762298375478803,2065,-1093.75,157.5,
1762298375482013,1653.75,-962.5,437.5,
1762298375485431,1960,-927.5,280,
1762298375488677,1951.25,-901.25,490,
1762298375491889,1898.75,-735,813.75,
1762298375495195,1828.75,-997.5,805,
1762298375498617,1890,-805,1085,
1762298375501925,1487.5,-787.5,866.25,
1762298375505168,1505,-647.5,971.25,
1762298375509677,1452.5,-428.75,918.75,
1762298375513573,1050,-306.25,1085,
1762298375517627,1207.5,-577.5,1093.75,
1762298375521376,918.75,-218.75,1032.5,
1762298375525726,857.5,-236.25,805,
1762298375530257,358.75,-236.25,857.5,
1762298375534400,-113.75,-280,778.75,
1762298375539018,-367.5,-26.25,857.5,
1762298375543764,-210,-157.5,358.75,
1762298375547766,-586.25,-166.25,542.5,
1762298375552144,-857.5,-148.75,148.75,
1762298375556816,-971.25,-148.75,253.75,
1762298375561617,-962.5,-105,148.75,
1762298375566636,-831.25,-297.5,-8.75,
1762298375570783,-665,-253.75,-140,
1762298375575373,-507.5,-87.5,-218.75,
1762298375579635,-157.5,-525,0,
1762298375584213,-192.5,-542.5,157.5,
1762298375588875,0,78.75,43.75,
1762298375593257,262.5,-376.25,-61.25,
1762298375597760,726.25,-166.25,131.25,
1762298375601764,586.25,-542.5,166.25,
1762298375607346,1085,-306.25,393.75,
1762298375611765,1373.75,-420,428.75,
1762298375616366,1592.5,-175,630,
1762298375620895,2100,-35,682.5,
1762298375626262,1995,-192.5,962.5,
1762298375630506,2546.25,-183.75,945,
1762298375634907,2371.25,-26.25,1032.5,
1762298375638890,2467.5,-227.5,988.75,
1762298375643245,2222.5,-210,997.5,
1762298375647374,2493.75,-271.25,1225,
1762298375651760,2187.5,-262.5,980,
1762298375656012,2528.75,-621.25,1303.75,
1762298375660626,2161.25,-516.25,962.5,
1762298375664888,2205,-892.5,813.75,
1762298375669882,1898.75,-822.5,420,
1762298375675515,1680,-945,551.25,
1762298375679762,1802.5,-1050,481.25,
1762298375683744,1828.75,-1085,271.25,
1762298375687780,1172.5,-857.5,70,
1762298375692871,393.75,-1391.25,0,
1762298375696873,420,-1312.5,-367.5,
1762298375701245,61.25,-1461.25,-778.75,
1762298375705781,-175,-1461.25,-770,
1762298375710121,-472.5,-1645,-498.75,
1762298375714459,-332.5,-1338.75,-603.75,
1762298375720884,-656.25,-1260,-656.25,
1762298375726124,-805,-1373.75,-901.25,
1762298375730254,-665,-1172.5,-770,
1762298375734504,-376.25,-1277.5,-638.75,
1762298375738783,-542.5,-936.25,-525,
1762298375743255,-892.5,-560,-393.75,
1762298375747497,-638.75,-1120,-297.5,
1762298375751749,-402.5,-875,-358.75,
1762298375756535,-752.5,-516.25,-105,
1762298375761165,-446.25,-743.75,96.25,
1762298375764062,157.5,-472.5,-35,
1762298375767360,-183.75,-350,148.75,
1762298375770766,-96.25,-595,560,
1762298375774106,315,-262.5,393.75,
1762298375778385,525,-236.25,743.75,
1762298375782635,971.25,-70,656.25,
1762298375787148,743.75,140,910,
1762298375792091,1312.5,0,1338.75,
1762298375796629,1312.5,-35,1478.75,
1762298375801462,1680,306.25,1575,
1762298375805244,1461.25,-70,1548.75,
1762298375809607,1575,78.75,1531.25,
1762298375814021,1461.25,140,1758.75,
1762298375817573,1321.25,0,1505,
1762298375821173,1548.75,-87.5,1426.25,
1762298375826189,1540,78.75,1382.5,
1762298375830691,1478.75,288.75,971.25,
1762298375834297,1470,-236.25,1163.75,
1762298375837942,1478.75,-297.5,743.75,
1762298375842911,1408.75,-96.25,848.75,
1762298375847172,1146.25,-105,647.5,
1762298375851048,1128.75,61.25,577.5,
1762298375854918,980,-306.25,402.5,
1762298375859763,1093.75,-551.25,498.75,
1762298375864508,568.75,-463.75,201.25,
1762298375869447,542.5,-525,315,
1762298375873586,708.75,-962.5,-227.5,
1762298375877937,376.25,-1277.5,-481.25,
1762298375882141,-78.75,-1382.5,-411.25,
1762298375885824,271.25,-1505,-411.25,
1762298375890076,-192.5,-1225,-463.75,
1762298375895521,-332.5,-1277.5,-831.25,
1762298375899297,-87.5,-1251.25,-507.5,
1762298375902807,96.25,-1356.25,-612.5,
1762298375905979,-157.5,-1303.75,-586.25,
1762298375910876,-183.75,-910,-358.75,
1762298375914422,210,-866.25,-148.75,
1762298375918622,323.75,-962.5,-297.5,
1762298375922422,140,-1102.5,-148.75,
1762298375925863,533.75,-1102.5,-218.75,
1762298375929077,822.5,-1330,245,
1762298375933385,533.75,-1093.75,210,
1762298375938274,936.25,-1058.75,166.25,
1762298375943378,700,-1023.75,262.5,
1762298375947869,840,-551.25,490,
1762298375951454,857.5,-831.25,822.5,
1762298375954455,1207.5,-752.5,787.5,
1762298375957683,1050,-700,595,
1762298375961193,1085,-315,595,
1762298375964956,1050,0,717.5,
1762298375968038,866.25,-717.5,866.25,
1762298375971371,1137.5,-288.75,901.25,
1762298375975496,927.5,-210,822.5,
1762298375978070,936.25,-315,918.75,
1762298375982038,962.5,-411.25,1076.25,
1762298375985335,1023.75,-140,883.75,
1762298375988757,848.75,-306.25,813.75,
1762298375992116,455,-236.25,700,
1762298375995876,778.75,-157.5,848.75,
1762298375998916,253.75,-218.75,848.75,
1762298376002161,280,-288.75,778.75,
1762298376005497,297.5,52.5,490,
1762298376009149,-105,-61.25,665,
1762298376013363,-140,-350,577.5,
1762298376017499,157.5,-166.25,393.75,
1762298376021842,-236.25,-262.5,376.25,
1762298376026489,-341.25,-341.25,262.5,
1762298376030615,-183.75,-227.5,315,
1762298376035268,-341.25,-332.5,201.25,
1762298376039782,-183.75,-428.75,288.75,
1762298376044384,-402.5,-717.5,43.75,
1762298376049092,-315,-595,26.25,
1762298376053924,26.25,-726.25,140,
1762298376058790,-78.75,-673.75,183.75,
1762298376062699,-140,-516.25,140,
1762298376066169,183.75,-533.75,26.25,
1762298376069443,122.5,-673.75,-87.5,
1762298376072672,568.75,-691.25,236.25,
1762298376076182,236.25,-603.75,175,
1762298376079655,70,-673.75,17.5,
1762298376082819,498.75,-717.5,105,
1762298376086416,376.25,-717.5,-122.5,
1762298376090141,498.75,-910,280,
1762298376093926,288.75,-577.5,-157.5,
1762298376097219,341.25,-1102.5,-17.5,
1762298376100821,376.25,-910,-52.5,
1762298376104228,525,-682.5,253.75,
1762298376107346,420,-997.5,218.75,
1762298376110435,481.25,-1146.25,288.75,
1762298376113717,332.5,-1172.5,236.25,
1762298376117132,787.5,-1146.25,315,
1762298376121492,428.75,-910,0,
1762298376125326,883.75,-1277.5,175,
1762298376129196,770,-1163.75,96.25,
1762298376132037,586.25,-1128.75,0,
1762298376135467,647.5,-1085,52.5,
1762298376138754,1058.75,-1417.5,140,
1762298376142269,971.25,-1268.75,87.5,
