timestamp,disk index,disk_0 x (m),disk_0 y (m),disk_0 z (m),disk_0 rotX (rad),disk_0 rotY (rad),disk_0 rotZ (rad),disk index,disk_1 x (m),disk_1 y (m),disk_1 z (m),disk_1 rotX (rad),disk_1 rotY (rad),disk_1 rotZ (rad),disk index,disk_2 x (m),disk_2 y (m),disk_2 z (m),disk_2 rotX (rad),disk_2 rotY (rad),disk_2 rotZ (rad),disk index,disk_3 x (m),disk_3 y (m),disk_3 z (m),disk_3 rotX (rad),disk_3 rotY (rad),disk_3 rotZ (rad),disk index,disk_4 x (m),disk_4 y (m),disk_4 z (m),disk_4 rotX (rad),disk_4 rotY (rad),disk_4 rotZ (rad)
1769550855.9617522,0.0,0.938194659577594,-0.5199574300317005,1.0973368417888865,3.1406259005439203,0.008705534510494934,-3.100483525021482,1.0,0.9332667181078594,-0.5204591747325903,0.9793484181065597,-3.103007674948051,-0.014140820516653772,-3.116780827704994,2.0,0.9357265986227292,-0.5186623910472279,0.8580857440426476,3.1365169512108233,0.010849289449006563,-3.1227459935608732,3.0,0.9352650721712833,-0.5138537771797703,0.7385145769890836,3.080409575513902,0.00017734347541846114,-3.116920092443213,4.0,0.9323971573707999,-0.5128806665624155,0.6190380640492793,3.130739172122929,-0.0054232389470667474,3.1134782006111097
1769550855.9661617,0.0,0.9381976707035108,-0.520001100025221,1.0973129744525716,-3.141410957090702,0.009006300445740113,-3.1009435387636564,1.0,0.9332579617819146,-0.5205074970021261,0.9793404087443824,-3.1030936413937305,-0.014151426717527981,-3.1170928988679503,2.0,0.9357590780502268,-0.5186680918282274,0.8581076321170202,3.1363804556717643,0.011143878082783679,-3.123342559117896,3.0,0.9352213447554188,-0.5138828119228216,0.7385121510908977,3.080685182731203,0.00043818301216422647,-3.1172635491894862,4.0,0.932391420898046,-0.5129621855958355,0.6190280382016337,3.131857582597107,-0.0049596622606401745,3.1133464027451025
1769550855.9756186,0.0,0.9381781673227684,-0.5200007765183018,1.0973352460511816,3.141166902323383,0.008869048352344875,-3.101087316198946,1.0,0.9332730979417934,-0.5204989212647206,0.9793140660905508,-3.103541586951077,-0.01419163052686897,-3.116900046686233,2.0,0.9357306793341752,-0.5186657686056309,0.8581242454599078,3.1361172223996574,0.011173820034837809,-3.123489481836954,3.0,0.9352499099857982,-0.5138851300211644,0.7385091804483219,3.0804550164211464,0.00039145535763358835,-3.116929637145237,4.0,0.9324154411487278,-0.5129496470468364,0.6190202142054382,3.1308976505806885,-0.005361698582111672,3.113721939870118
1769550855.9856522,0.0,0.9381888551314082,-0.5199459248315963,1.0973624943440907,3.14106243649196,0.009563943729496715,-3.1013148511153736,1.0,0.9332476586663007,-0.5206051851180779,0.9793625562426878,-3.10309180551309,-0.014514060881907289,-3.1167769924124995,2.0,0.935742026539047,-0.5186735545773021,0.8581133128874193,3.13633839310477,0.01126303143290841,-3.12372424478022,3.0,0.9352765841183679,-0.5138699566227246,0.7384991622826306,3.0798352488516128,-0.00026298134544175264,-3.1173510447636286,4.0,0.9324237104822198,-0.5129204392741239,0.6190387694427576,3.13170359488435,-0.0053810722067691484,3.113513751905775
1769550855.995585,0.0,0.9381892636921925,-0.5199195941178986,1.0973707570260052,3.1403063256990635,0.009054808608357558,-3.1011494955980763,1.0,0.9332573786874255,-0.520542772664683,0.9793720635231193,-3.1028363816607616,-0.014797098762127408,-3.116947964722122,2.0,0.9357515548766094,-0.5186272761825425,0.8581039365826588,3.135765394888438,0.011086743596461755,-3.1236793951775694,3.0,0.9352537378257796,-0.5138177713792913,0.7384973082227612,3.0808530709899307,0.0003117882962394044,-3.117182162927462,4.0,0.9324433626562822,-0.5128610190860572,0.6190190767645117,3.1316941902510944,-0.005638294176255341,3.1136919672956607
1769550856.0055413,0.0,0.9382155536398019,-0.5198932703525094,1.097357760395874,3.140570713006918,0.009137359350465066,-3.1008863824402506,1.0,0.9332533101652588,-0.520531871722286,0.9794069618621334,-3.1031578762470753,-0.014514130236048195,-3.1164959072538956,2.0,0.9357742763948858,-0.5185646274431097,0.8580849320613111,3.136003232503089,0.010898251956154164,-3.1234825635681447,3.0,0.9352697401154458,-0.5137588830061773,0.738467844806032,3.080728867275528,0.0003382319214496812,-3.117118344857938,4.0,0.9324530471799708,-0.5127892580550985,0.6190193096923969,3.1322350215281203,-0.005113655089808435,3.113489419375265
1769550856.0159519,0.0,0.9382030963400241,-0.5199166185541254,1.0973648043622473,3.139732169455868,0.009183756554327634,-3.101144134734477,1.0,0.933275253449183,-0.5204731924872017,0.979405448783113,-3.1029601361475656,-0.014540017701150671,-3.117102823754186,2.0,0.9357588301029223,-0.5185677133578657,0.8580983736719768,3.1355834303849592,0.010908928009872912,-3.123336843931791,3.0,0.9352757810948449,-0.5138342833003894,0.7384778210215552,3.0804540822578033,0.00045789864287986364,-3.116818909521631,4.0,0.9324180645275486,-0.5127900377988823,0.6190251689469604,3.1326479745123486,-0.005000146231827942,3.11373246944407
1769550856.0257812,0.0,0.9381782801012704,-0.5199109193892573,1.0973508545845998,3.1408984906242448,0.00942116573181493,-3.101525030724027,1.0,0.9332965213890104,-0.5204699973743108,0.9793959445192773,-3.102922223947824,-0.01427980523459202,-3.1169918410727586,2.0,0.9357295937176162,-0.518645621595493,0.8581009224101092,3.136098116516494,0.011517581966511972,-3.1241020782420224,3.0,0.9352441812493231,-0.5138998819690838,0.7384766522928273,3.0799131641441098,0.0003669675706894531,-3.117518052997222,4.0,0.9324089459564252,-0.5129121820055941,0.6189955882511088,3.132032080747456,-0.005053396470703095,3.1133724121490536
1769550856.0355763,0.0,0.9381779485080961,-0.5200026763814702,1.0973253710378992,3.140655059990941,0.009612751660651347,-3.1022547444238344,1.0,0.9332698651898027,-0.5204784977316926,0.979368705922863,-3.102765866961381,-0.014349301541027386,-3.116629865136865,2.0,0.9357214185235836,-0.5187028876675609,0.8581011789081093,3.13648118528875,0.011427804590452543,-3.1239659524953383,3.0,0.9352405838228686,-0.5139415473018369,0.7385105867466348,3.0807206346310347,0.0007000591387301223,-3.116638905098313,4.0,0.9323910318477113,-0.5129931668009218,0.618999380962669,3.1314811402477014,-0.005167931704932325,3.113346433614355
1769550856.0455844,0.0,0.9381682011809889,-0.5199474184218312,1.0973250807742196,3.141487128765213,0.009015889416973942,-3.101152445878556,1.0,0.9332747620354526,-0.5204708120383839,0.9793291120826462,-3.103087796298401,-0.014662957324486432,-3.116910051865839,2.0,0.935723994504742,-0.518708923853641,0.8581140218411575,3.1363299213204914,0.011603304454556571,-3.12372008709325,3.0,0.935224212964874,-0.5139190725529896,0.7385239471567889,3.08016016156157,0.0003311978894863243,-3.117059902578549,4.0,0.9323830171951955,-0.5129599648550041,0.6190482413838964,3.1312577849971204,-0.0052311913909167465,3.1137432231752533
