Sensor,NumberOfRecordings,NumberOfTimeGaps,MeanGap_ms,MedianGap_ms,StdGap_ms,MinGap_ms,MaxGap_ms,MeanOverMedianRatio
ATI force/torque,30,265898,5.00108553812364,0.190019607543945,7.07367637362821,0.0557899475097656,16.4730548858643,26.318786796605
FBG shape sensor,30,132941,10.0054248505335,9.75513458251953,8.72565779581012,0.00786781311035156,68.9501762390137,1.02565728498124
OptiTrack motion capture,30,164833,8.33368582431987,8.32581520080566,0.537198879694485,0.774860382080078,55.4993152618408,1.00094532767355
Motor encoders,29,417521,2.81794159519299,2.00200080871582,9.68906937172989,1.70183181762695,143.216133117676,1.40756266577162
Mark-10 tendon tension,29,1794567,2.8506691287259,2.80284881591797,1.36072783255888,2.15792655944824,1017.61293411255,1.01706132436982
Resense/HEX12 (contact),4,15240,9.84365833713001,10.0042819976807,1.2658814257338,0.0126361846923828,10.4343891143799,0.983944508902499
