time (us),x(mdps),y(mdps),z(mdps)
1772577253297813,560,-481.25,603.75,
1772577253298983,0,0,0,
1772577253399052,1146.25,-516.25,446.25,
1772577253400239,0,0,0,
1772577253498469,95655,-980,13352.5,
1772577253499776,0,0,0,
1772577253598382,-20833.8,-3465,4427.5,
1772577253599548,0,0,0,
1772577253698401,9108.75,-183.75,236.25,
1772577253699603,0,0,0,
1772577253798461,218.75,-437.5,507.5,
1772577253799552,0,0,0,
1772577253898667,1417.5,-367.5,210,
1772577253899740,0,0,0,
1772577253998473,1067.5,-560,192.5,
1772577253999629,0,0,0,
1772577254098653,1995,-323.75,455,
1772577254099709,0,0,0,
1772577254198534,568.75,-630,236.25,
1772577254199699,0,0,0,
1772577254298610,3937.5,-1041.25,-857.5,
1772577254299635,0,0,0,
1772577254398487,5197.5,-376.25,402.5,
1772577254399579,0,0,0,
1772577254498288,1548.75,-402.5,245,
1772577254499355,0,0,0,
1772577254598349,463.75,-700,358.75,
1772577254599449,0,0,0,
1772577254698491,43.75,-420,411.25,
1772577254699579,0,0,0,
1772577254798447,638.75,-577.5,446.25,
1772577254799547,0,0,0,
1772577254898555,-840,-682.5,332.5,
1772577254899621,0,0,0,
1772577254998557,682.5,-87.5,201.25,
1772577254999671,0,0,0,
1772577255098451,840,-551.25,498.75,
1772577255099556,0,0,0,
1772577255198297,988.75,-551.25,236.25,
1772577255199482,0,0,0,
1772577255298643,455,-437.5,455,
1772577255299718,0,0,0,
1772577255398722,288.75,-516.25,376.25,
1772577255399758,0,0,0,
1772577255498475,490,-446.25,245,
1772577255499547,0,0,0,
1772577255598533,1102.5,-603.75,463.75,
1772577255599793,0,0,0,
1772577255699027,52.5,-560,323.75,
1772577255700124,0,0,0,
1772577255798392,1015,-323.75,218.75,
1772577255799462,0,0,0,
1772577255898397,-96.25,-507.5,341.25,
1772577255899493,0,0,0,
1772577255998241,-43.75,-315,315,
1772577255999427,0,0,0,
1772577256098621,183.75,-323.75,332.5,
1772577256099670,0,0,0,
1772577256198872,131.25,-315,297.5,
1772577256200035,0,0,0,
1772577256298297,253.75,-533.75,603.75,
1772577256299406,0,0,0,
1772577256398832,210,-525,253.75,
1772577256399883,0,0,0,
1772577256498224,-8.75,-411.25,455,
1772577256499318,0,0,0,
1772577256598493,1006.25,-201.25,428.75,
1772577256599542,0,0,0,
1772577256698524,892.5,-402.5,315,
1772577256699561,0,0,0,
1772577256798646,332.5,-691.25,358.75,
1772577256799783,0,0,0,
1772577256898501,735,-455,455,
1772577256899582,0,0,0,
1772577256998317,-980,-463.75,525,
1772577256999442,0,0,0,
1772577257098582,647.5,-210,175,
1772577257099715,0,0,0,
1772577257198429,595,-245,420,
1772577257199581,0,0,0,
1772577257298791,-26.25,-603.75,358.75,
1772577257299843,0,0,0,
1772577257398573,227.5,-341.25,341.25,
1772577257399594,0,0,0,
1772577257498570,78.75,-525,446.25,
1772577257499605,0,0,0,
1772577257598711,-1575,-673.75,446.25,
1772577257599795,0,0,0,
1772577257698358,708.75,-253.75,236.25,
1772577257699476,0,0,0,
1772577257798284,3937.5,1225,-761.25,
1772577257799334,0,0,0,
1772577257898722,-3421.25,4961.25,-2117.5,
1772577257899906,0,0,0,
1772577257998466,2651.25,-1496.25,1076.25,
1772577257999575,0,0,0,
1772577258098541,-1706.25,-1181.25,533.75,
1772577258099625,0,0,0,
1772577258198626,-735,-472.5,393.75,
1772577258199701,0,0,0,
1772577258298662,2318.75,-393.75,315,
1772577258299752,0,0,0,
