time (us),x(mdps),y(mdps),z(mdps)
1772577253298029,-43.75,-743.75,166.25,
1772577253299232,0,0,0,
1772577253399498,140,-472.5,8.75,
1772577253400579,0,0,0,
1772577253498472,140,-630,105,
1772577253499602,0,0,0,
1772577253598381,-78.75,-770,105,
1772577253599497,0,0,0,
1772577253698358,140,-542.5,210,
1772577253699507,0,0,0,
1772577253798292,-17.5,-507.5,87.5,
1772577253799342,0,0,0,
1772577253898498,122.5,-507.5,245,
1772577253899765,0,0,0,
1772577253998300,201.25,-656.25,332.5,
1772577253999523,0,0,0,
1772577254098478,70,-323.75,26.25,
1772577254099552,0,0,0,
1772577254198532,192.5,-586.25,-17.5,
1772577254199961,0,0,0,
1772577254298433,586.25,-516.25,297.5,
1772577254299469,0,0,0,
1772577254398485,271.25,-428.75,87.5,
1772577254399577,0,0,0,
1772577254498284,87.5,-875,271.25,
1772577254499519,0,0,0,
1772577254598394,122.5,-323.75,183.75,
1772577254599453,0,0,0,
1772577254698541,341.25,-542.5,-113.75,
1772577254699581,0,0,0,
1772577254798327,122.5,-700,332.5,
1772577254799378,0,0,0,
1772577254898554,525,-621.25,227.5,
1772577254899623,0,0,0,
1772577254998566,113.75,-700,8.75,
1772577254999669,0,0,0,
1772577255098266,26.25,-717.5,122.5,
1772577255099346,0,0,0,
1772577255198302,122.5,-201.25,262.5,
1772577255199479,0,0,0,
1772577255298303,113.75,-446.25,-61.25,
1772577255299393,0,0,0,
1772577255398549,481.25,-428.75,131.25,
1772577255399591,0,0,0,
1772577255498301,96.25,-568.75,341.25,
1772577255499381,0,0,0,
1772577255598365,166.25,-280,-122.5,
1772577255599687,0,0,0,
1772577255699218,227.5,-665,-26.25,
1772577255700299,0,0,0,
1772577255798390,52.5,-393.75,-17.5,
1772577255799459,0,0,0,
1772577255898395,463.75,-516.25,175,
1772577255899495,0,0,0,
1772577255998294,-17.5,-236.25,210,
1772577255999475,0,0,0,
1772577256098451,78.75,-446.25,183.75,
1772577256099499,0,0,0,
1772577256198530,271.25,-428.75,175,
1772577256199534,0,0,0,
1772577256298331,96.25,-367.5,236.25,
1772577256299409,0,0,0,
1772577256398791,0,-542.5,26.25,
1772577256399886,0,0,0,
1772577256498348,131.25,-542.5,70,
1772577256499483,0,0,0,
1772577256598495,315,-560,61.25,
1772577256599874,0,0,0,
1772577256698522,183.75,-638.75,-8.75,
1772577256699565,0,0,0,
1772577256798650,122.5,-525,87.5,
1772577256799788,0,0,0,
1772577256898330,201.25,-770,157.5,
1772577256899423,0,0,0,
1772577256998320,-26.25,-533.75,166.25,
1772577256999445,0,0,0,
1772577257098529,87.5,-542.5,122.5,
1772577257099709,0,0,0,
1772577257198426,271.25,-603.75,52.5,
1772577257199527,0,0,0,
1772577257298442,227.5,-682.5,61.25,
1772577257299518,0,0,0,
1772577257398393,192.5,-621.25,253.75,
1772577257399433,0,0,0,
1772577257498393,192.5,-367.5,166.25,
1772577257499438,0,0,0,
1772577257598439,-17.5,-498.75,148.75,
1772577257599625,0,0,0,
1772577257698356,157.5,-700,157.5,
1772577257699450,0,0,0,
1772577257798288,122.5,-428.75,271.25,
1772577257799510,0,0,0,
1772577257898543,-166.25,-533.75,166.25,
1772577257899622,0,0,0,
1772577257998463,61.25,-472.5,157.5,
1772577257999700,0,0,0,
1772577258098366,157.5,-525,245,
1772577258099460,0,0,0,
1772577258198629,210,-437.5,-78.75,
1772577258199703,0,0,0,
1772577258298482,166.25,-490,-8.75,
1772577258299586,0,0,0,
