time (us),x(mdps),y(mdps),z(mdps)
1772577253295202,-708.75,78.75,-315,
1772577253296353,0,0,0,
1772577253395688,341.25,-446.25,-1732.5,
1772577253396785,0,0,0,
1772577253495096,2257.5,-4112.5,-3963.75,
1772577253496208,0,0,0,
1772577253595553,5302.5,-4777.5,-813.75,
1772577253596732,0,0,0,
1772577253695219,-1417.5,1093.75,5687.5,
1772577253696284,0,0,0,
1772577253795065,1583.75,-525,-4550,
1772577253796149,0,0,0,
1772577253894796,1662.5,-1373.75,1365,
1772577253895973,0,0,0,
1772577253994768,901.25,-857.5,1321.25,
1772577253996101,0,0,0,
1772577254094973,831.25,-988.75,-2187.5,
1772577254096126,0,0,0,
1772577254194843,236.25,-813.75,428.75,
1772577254195964,0,0,0,
1772577254294934,253.75,-402.5,-428.75,
1772577254295972,0,0,0,
1772577254394813,-1925,472.5,-1452.5,
1772577254395953,0,0,0,
1772577254494834,2231.25,-1365,1023.75,
1772577254496002,0,0,0,
1772577254594696,-87.5,-402.5,-682.5,
1772577254595829,0,0,0,
1772577254695150,-210,-638.75,-1032.5,
1772577254696426,0,0,0,
1772577254795219,122.5,-770,-140,
1772577254796302,0,0,0,
1772577254894787,96.25,-621.25,-603.75,
1772577254895860,0,0,0,
1772577254995087,770,-638.75,-131.25,
1772577254996169,0,0,0,
1772577255095003,-525,-463.75,-332.5,
1772577255096091,0,0,0,
1772577255195019,1041.25,-1128.75,-35,
1772577255196237,0,0,0,
1772577255294773,638.75,-997.5,-402.5,
1772577255295880,0,0,0,
1772577255395000,-420,-735,-323.75,
1772577255396093,0,0,0,
1772577255494936,367.5,-927.5,-253.75,
1772577255496033,0,0,0,
1772577255594829,288.75,-708.75,-533.75,
1772577255595905,0,0,0,
1772577255694894,-131.25,-376.25,52.5,
1772577255695970,0,0,0,
1772577255795035,183.75,-857.5,-875,
1772577255796210,0,0,0,
1772577255895043,113.75,-883.75,218.75,
1772577255896115,0,0,0,
1772577255994996,-17.5,-481.25,-927.5,
1772577255996187,0,0,0,
1772577256095178,-122.5,-586.25,0,
1772577256096285,0,0,0,
1772577256194938,507.5,-743.75,-1006.25,
1772577256196000,0,0,0,
1772577256295141,-218.75,-297.5,-35,
1772577256296361,0,0,0,
1772577256394915,980,-507.5,-472.5,
1772577256396071,0,0,0,
1772577256495072,525,-577.5,-533.75,
1772577256496165,0,0,0,
1772577256594806,43.75,-341.25,-236.25,
1772577256595893,0,0,0,
1772577256694930,638.75,-901.25,-271.25,
1772577256696061,0,0,0,
1772577256795533,-157.5,-577.5,-647.5,
1772577256796725,0,0,0,
1772577256895434,-140,-603.75,131.25,
1772577256896713,0,0,0,
1772577256994942,148.75,-761.25,-848.75,
1772577256996028,0,0,0,
1772577257094936,-595,-402.5,-761.25,
1772577257096169,0,0,0,
1772577257194872,131.25,-805,-621.25,
1772577257195950,0,0,0,
1772577257294870,288.75,-805,280,
1772577257295941,0,0,0,
1772577257394974,411.25,-796.25,-612.5,
1772577257396097,0,0,0,
1772577257494842,148.75,-927.5,17.5,
1772577257495968,0,0,0,
1772577257595053,1408.75,-1128.75,-927.5,
1772577257596115,0,0,0,
1772577257694907,87.5,-358.75,218.75,
1772577257696100,0,0,0,
1772577257794725,472.5,-533.75,-1303.75,
1772577257795829,0,0,0,
1772577257895059,411.25,-630,1093.75,
1772577257896170,0,0,0,
1772577257994971,-210,-1023.75,-1172.5,
1772577257996061,0,0,0,
1772577258095066,3088.75,-1802.5,271.25,
1772577258096128,0,0,0,
1772577258194922,-2021.25,35,-980,
1772577258196069,0,0,0,
1772577258295118,-953.75,-323.75,-210,
1772577258296209,0,0,0,
