timestamp,angle_rad,angle_deg,velocity_rad_s,torque_Nm
1765229932.629453,0.001526,0.087428,0.059968,-0.000183
1765229932.629919,0.001907,0.109285,0.015106,-0.000183
1765229932.630394,0.001907,0.109285,0.074617,-0.000183
1765229932.630872,0.001907,0.109285,0.081025,-0.000183
1765229932.631317,0.001907,0.109285,0.044404,-0.000183
1765229932.631783,0.001907,0.109285,0.069123,0.026184
1765229932.632254,0.001907,0.109285,0.121309,-0.000183
1765229932.632783,0.002289,0.131142,0.152438,-0.000183
1765229932.633296,0.002289,0.131142,0.167086,0.008240
1765229932.633832,0.002289,0.131142,0.142367,0.007507
1765229932.634312,0.002289,0.131142,0.143282,-0.000183
1765229932.634866,0.002289,0.131142,0.091096,-0.000183
1765229932.635294,0.002289,0.131142,0.069123,-0.000183
1765229932.635828,0.002289,0.131142,0.090181,-0.000183
1765229932.636319,0.002289,0.131142,0.144198,-0.000183
1765229932.636869,0.002670,0.152999,0.148775,-0.000183
1765229932.637358,0.002289,0.131142,0.012360,-0.000183
1765229932.637959,0.002670,0.152999,0.056306,-0.000183
1765229932.638503,0.002670,0.152999,0.178073,-0.000183
1765229932.639015,0.002670,0.152999,0.100252,-0.000183
1765229932.639513,0.002670,0.152999,0.113069,0.034241
1765229932.639968,0.002670,0.152999,0.037995,0.003113
1765229932.640454,0.002670,0.152999,0.075532,0.029114
1765229932.641044,0.003052,0.174856,0.088350,0.004211
1765229932.641569,0.003052,0.174856,0.038911,-0.000183
1765229932.642098,0.002670,0.152999,0.010529,-0.000183
1765229932.642578,0.003052,0.174856,0.018769,0.063539
1765229932.643049,0.003052,0.174856,0.078279,0.102358
1765229932.643551,0.003052,0.174856,0.064546,0.059510
1765229932.643978,0.003052,0.174856,0.126802,-0.000183
1765229932.644444,0.003052,0.174856,0.112154,-0.000183
1765229932.644946,0.003052,0.174856,-0.004120,-0.000183
1765229932.645456,0.003433,0.196712,0.090181,-0.000183
1765229932.645922,0.003052,0.174856,0.091096,0.007507
1765229932.646393,0.003052,0.174856,-0.016022,-0.000183
1765229932.646883,0.003052,0.174856,0.060883,-0.000183
1765229932.647368,0.003433,0.196712,0.075532,-0.000183
1765229932.647820,0.003433,0.196712,0.112154,-0.000183
1765229932.648287,0.003433,0.196712,0.113069,0.001282
1765229932.648814,0.003052,0.174856,0.019684,0.041566
1765229932.649314,0.003433,0.196712,-0.013275,0.006775
1765229932.649795,0.003433,0.196712,0.070039,-0.000183
1765229932.650305,0.003433,0.196712,0.102083,-0.000183
1765229932.650902,0.003433,0.196712,0.146944,0.055848
1765229932.651387,0.003815,0.218569,0.092012,-0.000183
1765229932.651888,0.003815,0.218569,0.144198,-0.000183
1765229932.652389,0.003815,0.218569,0.069123,-0.000183
1765229932.652912,0.003815,0.218569,-0.003204,-0.000183
1765229932.653384,0.003815,0.218569,0.141451,-0.000183
1765229932.653855,0.003815,0.218569,0.138705,-0.000183
1765229932.654294,0.003815,0.218569,0.081941,-0.000183
1765229932.654855,0.003815,0.218569,0.063630,-0.000183
1765229932.655338,0.003815,0.218569,0.067292,-0.000183
1765229932.655868,0.003815,0.218569,0.125887,0.046326
1765229932.656335,0.004196,0.240426,0.053559,-0.000183
1765229932.657034,0.004196,0.240426,0.157015,-0.000183
1765229932.657537,0.004196,0.240426,0.208286,-0.000183
1765229932.658005,0.004578,0.262283,0.160678,-0.000183
1765229932.658515,0.004578,0.262283,0.199130,-0.000183
1765229932.659028,0.004578,0.262283,0.140536,-0.000183
1765229932.659454,0.004959,0.284140,0.132296,-0.000183
1765229932.659937,0.004959,0.284140,0.188144,-0.000183
1765229932.660440,0.004959,0.284140,0.182650,-0.000183
1765229932.660927,0.004959,0.284140,0.155184,-0.000183
1765229932.661442,0.004959,0.284140,0.146029,-0.000183
1765229932.661904,0.004959,0.284140,0.175326,0.030945
1765229932.662365,0.004959,0.284140,0.189059,-0.000183
1765229932.662858,0.005341,0.305997,0.126802,-0.000183
1765229932.663314,0.005341,0.305997,0.174411,-0.000183
1765229932.663864,0.005341,0.305997,0.153353,-0.000183
1765229932.664319,0.005722,0.327854,0.139620,-0.000183
1765229932.664847,0.005722,0.327854,0.143282,-0.000183
1765229932.665307,0.005722,0.327854,0.143282,-0.000183
1765229932.665832,0.005722,0.327854,0.133211,-0.000183
1765229932.666321,0.005722,0.327854,0.157931,-0.000183
1765229932.666835,0.005722,0.327854,0.185397,-0.000183
1765229932.667313,0.006104,0.349711,0.184482,-0.000183
1765229932.667846,0.006104,0.349711,0.195468,-0.000183
1765229932.668348,0.006104,0.349711,0.196384,-0.000183
1765229932.668900,0.006104,0.349711,0.189975,-0.000183
1765229932.669390,0.006485,0.371568,0.152438,-0.000183
1765229932.669890,0.006485,0.371568,0.148775,-0.000183
1765229932.670335,0.006485,0.371568,0.167086,-0.000183
1765229932.670860,0.006485,0.371568,0.169833,-0.000183
1765229932.671421,0.006867,0.393425,0.184482,-0.000183
1765229932.671903,0.006867,0.393425,0.176242,-0.000183
1765229932.672433,0.006867,0.393425,0.151522,-0.000183
1765229932.672947,0.006867,0.393425,0.157931,-0.090272
1765229932.673459,0.006867,0.393425,0.182650,-0.000183
1765229932.673913,0.006867,0.393425,0.163424,0.076356
1765229932.674386,0.007248,0.415282,0.154269,-0.000183
1765229932.674855,0.007248,0.415282,0.189975,-0.000183
1765229932.675335,0.007630,0.437139,0.203708,-0.030579
1765229932.675864,0.007248,0.415282,0.205539,-0.000183
1765229932.676374,0.007630,0.437139,0.141451,-0.000183
1765229932.676919,0.007630,0.437139,0.213779,-0.000183
1765229932.677455,0.007630,0.437139,0.175326,0.022522
1765229932.677917,0.008011,0.458996,0.198215,0.006043
1765229932.678453,0.008011,0.458996,0.204623,-0.000183
1765229932.678864,0.008011,0.458996,0.195468,-0.000183
1765229932.679372,0.008011,0.458996,0.212863,-0.060609
1765229932.679868,0.008011,0.458996,0.107576,-0.000183
1765229932.680356,0.008392,0.480853,0.076448,-0.000183
1765229932.680883,0.008392,0.480853,0.243992,-0.000183
1765229932.681336,0.008392,0.480853,0.256809,0.092103
1765229932.681858,0.008392,0.480853,0.135042,0.046326
1765229932.682340,0.008774,0.502710,0.112154,0.015930
1765229932.682911,0.008774,0.502710,0.087434,-0.000183
1765229932.683444,0.008774,0.502710,0.121309,-0.000183
1765229932.683935,0.008774,0.502710,0.128634,-0.000183
1765229932.684486,0.008774,0.502710,0.116732,-0.000183
1765229932.685008,0.008774,0.502710,0.119478,-0.000183
1765229932.685467,0.008774,0.502710,0.169833,-0.000183
1765229932.685991,0.009155,0.524567,0.089265,-0.000183
1765229932.686454,0.009155,0.524567,0.128634,-0.000183
1765229932.686902,0.009155,0.524567,0.148775,-0.000183
1765229932.687452,0.009537,0.546423,0.136873,-0.000183
1765229932.687938,0.009155,0.524567,0.215610,-0.000183
1765229932.688631,0.009537,0.546423,0.155184,0.010803
1765229932.689143,0.009537,0.546423,0.213779,-0.000183
1765229932.689589,0.009537,0.546423,0.159762,-0.000183
1765229932.690048,0.009918,0.568280,0.144198,-0.000183
1765229932.690563,0.009918,0.568280,0.137789,-0.000183
1765229932.691103,0.009918,0.568280,0.135958,0.044495
1765229932.691603,0.009918,0.568280,0.146944,0.006409
1765229932.692091,0.009918,0.568280,0.151522,-0.000183
1765229932.692619,0.009918,0.568280,0.087434,0.007507
1765229932.693057,0.010300,0.590137,0.094759,-0.000183
1765229932.693537,0.010300,0.590137,0.155184,-0.000183
1765229932.693961,0.010300,0.590137,0.115816,-0.000183
1765229932.694446,0.010300,0.590137,0.101167,0.012268
1765229932.694875,0.010300,0.590137,0.085603,0.073060
1765229932.695342,0.010300,0.590137,0.113069,0.186221
1765229932.695822,0.010300,0.590137,0.106661,-0.000183
1765229932.696299,0.010300,0.590137,0.095674,-0.000183
1765229932.696865,0.010300,0.590137,0.063630,0.059144
1765229932.697312,0.010300,0.590137,0.036164,-0.000183
1765229932.697810,0.010300,0.590137,0.030671,-0.000183
1765229932.698227,0.010300,0.590137,0.051728,-0.000183
1765229932.698663,0.010681,0.611994,0.104829,0.038636
1765229932.699160,0.010681,0.611994,0.151522,-0.000183
1765229932.699639,0.010681,0.611994,0.143282,0.058778
1765229932.700132,0.010681,0.611994,0.107576,-0.000183
1765229932.700634,0.010681,0.611994,0.109407,-0.000183
1765229932.701083,0.010681,0.611994,0.118563,-0.000183
1765229932.701581,0.010681,0.611994,0.120394,-0.000183
1765229932.702064,0.011063,0.633851,0.081941,-0.000183
1765229932.702545,0.011063,0.633851,0.143282,-0.000183
1765229932.702952,0.011063,0.633851,0.143282,-0.000183
1765229932.703485,0.011063,0.633851,0.126802,0.010071
1765229932.703917,0.011063,0.633851,0.051728,-0.000183
1765229932.704445,0.011444,0.655708,0.032502,0.006409
1765229932.704943,0.011444,0.655708,0.150607,-0.000183
1765229932.705467,0.011444,0.655708,0.032502,-0.000183
1765229932.705918,0.011444,0.655708,0.087434,-0.000183
1765229932.706384,0.011444,0.655708,0.096590,-0.000183
1765229932.706885,0.011444,0.655708,0.048066,0.035340
1765229932.707412,0.011444,0.655708,0.097505,-0.000183
1765229932.707886,0.011444,0.655708,0.037079,0.171939
1765229932.708453,0.011444,0.655708,0.049897,0.020325
1765229932.708972,0.011444,0.655708,0.100252,0.099428
1765229932.709447,0.011444,0.655708,0.097505,-0.000183
1765229932.709887,0.011444,0.655708,0.056306,-0.000183
1765229932.710363,0.011826,0.677565,0.063630,-0.028016
1765229932.710853,0.011826,0.677565,0.126802,-0.000183
1765229932.711328,0.011826,0.677565,0.105745,0.036805
1765229932.711822,0.011826,0.677565,0.089265,0.022889
1765229932.712332,0.011826,0.677565,0.040742,0.069764
1765229932.712874,0.011826,0.677565,0.083772,0.025086
1765229932.713367,0.011826,0.677565,0.167086,0.006043
1765229932.713859,0.011826,0.677565,0.099336,-0.000183
1765229932.714286,0.012207,0.699422,0.005035,-0.000183
1765229932.714810,0.012207,0.699422,0.110323,-0.000183
1765229932.715284,0.011826,0.677565,0.085603,-0.000183
1765229932.715788,0.012207,0.699422,0.003204,-0.000183
1765229932.716240,0.012207,0.699422,0.039826,0.113344
1765229932.716729,0.012207,0.699422,0.050813,-0.000183
1765229932.717211,0.012207,0.699422,0.087434,-0.000183
1765229932.717648,0.012207,0.699422,0.119478,-0.000183
1765229932.718116,0.012207,0.699422,0.035248,-0.000183
1765229932.718719,0.012207,0.699422,0.037079,-0.000183
1765229932.719299,0.012589,0.721279,0.066377,0.002747
1765229932.719821,0.012207,0.699422,0.133211,0.007874
1765229932.720316,0.012207,0.699422,0.049897,-0.000183
1765229932.720867,0.012589,0.721279,0.039826,0.015930
1765229932.721360,0.012589,0.721279,0.131380,0.038270
1765229932.721843,0.012589,0.721279,0.103914,-0.000183
1765229932.722374,0.012589,0.721279,0.083772,-0.000183
1765229932.722825,0.012589,0.721279,0.107576,0.052186
1765229932.723258,0.012589,0.721279,0.116732,-0.000183
1765229932.723740,0.012970,0.743136,0.087434,-0.000183
1765229932.724229,0.012970,0.743136,0.089265,0.073793
1765229932.724646,0.012970,0.743136,0.113069,-0.000183
1765229932.725139,0.012589,0.721279,0.059052,-0.000183
1765229932.725605,0.012970,0.743136,0.027924,-0.000183
1765229932.726068,0.012970,0.743136,0.117647,-0.000183
1765229932.726581,0.013352,0.764993,0.201877,0.003845
1765229932.727092,0.012970,0.743136,0.198215,0.059144
1765229932.727583,0.012970,0.743136,0.052644,-0.000183
1765229932.728055,0.013352,0.764993,0.096590,-0.000183
1765229932.728583,0.013352,0.764993,0.112154,-0.000183
1765229932.729069,0.013352,0.764993,0.171664,-0.026184
1765229932.729582,0.013733,0.786850,0.233005,-0.000183
1765229932.730080,0.013733,0.786850,0.179904,0.100893
1765229932.730570,0.013733,0.786850,0.127718,0.033509
1765229932.730991,0.013733,0.786850,0.190890,-0.000183
1765229932.731459,0.014115,0.808707,0.252232,-0.000183
1765229932.731943,0.014115,0.808707,0.223850,0.018128
1765229932.732388,0.014115,0.808707,0.170748,-0.000183
1765229932.732856,0.014115,0.808707,0.198215,-0.000183
