timestamp (s), Fx, Fy, Fz, Tx, Ty, Tz
1773947121.138274,0.0003898526483681053,-0.0014194718096405268,0.005658362992107868,-0.01367038581520319,-0.014863809570670128,0.004019293002784252
1773947121.138288,6.482334720203653e-05,-0.0020804109517484903,0.004944092594087124,-0.015748633071780205,-0.011049020104110241,0.0006529514212161303
1773947121.1384244,-0.0002226417709607631,-0.0020430851727724075,0.005356622394174337,-0.016048291698098183,-0.010586248710751534,0.0024166193325072527
1773947121.1385791,-0.00041424069786444306,-0.002427395200356841,0.0060002910904586315,-0.017650067806243896,-0.009727656841278076,0.001034283428452909
1773947121.138659,-0.00043855831609107554,-0.0020223387982696295,0.006764205172657967,-0.015546889044344425,-0.009148461744189262,0.0032432044390589
1773947121.1387808,6.233767635421827e-05,-0.001372458296827972,0.005766466725617647,-0.013383252546191216,-0.008814486674964428,0.006505707744508982
1773947121.1388865,-5.7536766689736396e-05,-0.0019162331009283662,0.006486686412245035,-0.015308867208659649,-0.009529982693493366,0.004878482781350613
1773947121.1389022,0.0001766452769516036,-0.001888476312160492,0.005854249000549316,-0.016441918909549713,-0.011264915578067303,0.005819493439048529
1773947121.1389096,0.0003508086665533483,-0.0033460163976997137,0.005153191275894642,-0.02032083086669445,-0.009274582378566265,0.005532886367291212
1773947121.1390507,0.00047651497879996896,-0.003849503817036748,0.0062981233932077885,-0.01978844590485096,-0.010858234018087387,0.002490023849532008
1773947121.139057,-0.0001813256967579946,-0.0029880194924771786,0.005591082386672497,-0.015976548194885254,-0.007584926672279835,0.0037058887537568808
1773947121.1391468,-0.0001668636396061629,-0.0033671902492642403,0.006279475055634975,-0.016219520941376686,-0.010188608430325985,0.002546538831666112
1773947121.139153,0.00015732934116385877,-0.003671799087896943,0.005539253819733858,-0.014535411261022091,-0.00939352810382843,-0.000608317437581718
1773947121.1392214,0.00012870386126451194,-0.003402653383091092,0.005135218612849712,-0.013188503682613373,-0.01034497655928135,-0.0011959474068135023
1773947121.1392274,5.021329707233235e-05,-0.004215083085000515,0.004750323016196489,-0.016701558604836464,-0.01014791801571846,-0.004014873411506414
1773947121.1392336,2.564624446677044e-05,-0.004187841899693012,0.0058266217820346355,-0.015980729833245277,-0.010178063996136189,-0.004756229929625988
1773947121.1393998,1.3333125025383197e-05,-0.003883055178448558,0.003988505806773901,-0.012377360835671425,-0.006224615499377251,-0.0035195425152778625
1773947121.139406,-0.0003897885326296091,-0.0037668151780962944,0.002492968924343586,-0.008293833583593369,0.0007210337789729238,-0.004594157915562391
1773947121.139648,-2.225671778433025e-05,-0.0031914710998535156,0.0026815414894372225,-0.007724076043814421,-0.0009580468176864088,-0.005054929759353399
1773947121.1396542,-0.0008789123967289925,-0.0029760138131678104,0.0017120966222137213,-0.007711583748459816,0.0036985178012400866,-0.004266165196895599
1773947121.1397994,-0.0009969115490093827,-0.003923863172531128,0.0024548282381147146,-0.01116880401968956,0.0014975846279412508,-0.006511693354696035
1773947121.1398137,-0.0002974534872919321,-0.00268693920224905,0.0024729203432798386,-0.007367713376879692,-0.0009117015288211405,-0.0029120109975337982
1773947121.1399207,-0.00043002606253139675,-0.0025745469611138105,0.0032192871440201998,-0.009579068049788475,-0.0006467925850301981,-0.0006009466596879065
1773947121.1399353,-0.00045346817933022976,-0.0026105160359293222,0.0027529760263860226,-0.010333911515772343,0.00011163512681378052,0.0006174350855872035
1773947121.1399841,-0.00023443995451088995,-0.002237830078229308,0.0025947471149265766,-0.006637899670749903,-0.0011890004388988018,0.0008160933502949774
