timestamp (s), Fx, Fy, Fz, Tx, Ty, Tz
1773946669.213826,-0.001654359046369791,-0.001442178268916905,0.0009385772282257676,-0.008464076556265354,-0.011666416190564632,-0.0023348419927060604
1773946669.213844,-0.00189420476090163,-0.0019365687621757388,0.0006025877664797008,-0.006593772675842047,-0.00920156855136156,-0.0025104123633354902
1773946669.2140946,-0.0018609954277053475,-0.001786707085557282,0.0003255306219216436,-0.0049718813970685005,-0.008947825990617275,-0.002870506839826703
1773946669.2141087,-0.001793834031559527,-0.0013161866227164865,5.5386844906024635e-05,-0.0023793308064341545,-0.007413511164486408,-0.0028945859521627426
1773946669.214118,-0.0016379517037421465,-0.0014202578458935022,0.0001370682002743706,-0.0034936489537358284,-0.008717113174498081,-0.0021124212071299553
1773946669.2142622,-0.0014101983979344368,-0.0013566788984462619,-0.00025456774164922535,-0.004887204151600599,-0.00945484358817339,-0.0019341935403645039
1773946669.214276,-0.0018869672203436494,-0.0019269626354798675,0.0006234101601876318,-0.011071952059864998,-0.011799661442637444,-0.0041324724443256855
1773946669.2143698,-0.001270950655452907,-0.0010995889315381646,-2.800097718136385e-05,-0.008358603343367577,-0.012352457270026207,-0.00210023345425725
1773946669.2143853,-0.0013560517691075802,-0.0018049342324957252,-6.780907278880477e-05,-0.011438459157943726,-0.012444302439689636,-0.004353915341198444
1773946669.2144852,-0.001511002192273736,-0.001877638977020979,-8.21214125608094e-05,-0.01194110419601202,-0.013297072611749172,-0.006200137548148632
1773946669.214501,-0.0017360689816996455,-0.0019036411540582776,-0.0005792598822154105,-0.010084114968776703,-0.011528114788234234,-0.008701513521373272
1773946669.2145956,-0.0022824720945209265,-0.0020548137836158276,0.00021333617041818798,-0.012431036680936813,-0.009914366528391838,-0.009097693488001823
1773946669.2146094,-0.0021129895467311144,-0.0018804522696882486,-0.0003328902821522206,-0.01141790859401226,-0.008325750939548016,-0.006404136773198843
1773946669.214678,-0.0019021076150238514,-0.002101444872096181,0.00031175409094430506,-0.01359274610877037,-0.009469544515013695,-0.007703766692429781
1773946669.214685,-0.00134380254894495,-0.001251652487553656,0.000935068354010582,-0.010230038315057755,-0.011852196417748928,-0.006074142176657915
1773946669.2147465,-0.0014037215150892735,-0.0010620547691360116,0.0015434984816238284,-0.010588712058961391,-0.013629027642309666,-0.005267506465315819
1773946669.2148595,-0.0014629655051976442,-0.0007820581668056548,0.0007666935562156141,-0.006020461209118366,-0.009174127131700516,-0.0036544324830174446
1773946669.2150404,-0.0013629898894578218,-0.0007309898501262069,0.0014937351224943995,-0.005714352708309889,-0.008708723820745945,-0.004566466901451349
1773946669.2150464,-0.000647044915240258,-8.060996151471045e-06,0.001420732238329947,-0.0034410180523991585,-0.00964721105992794,-0.0011445435229688883
1773946669.2151477,4.1943912947317585e-06,0.0002018965606112033,0.002220616675913334,-0.002061441307887435,-0.012426664121448994,-0.0009393541840836406
1773946669.215154,9.6891526482068e-05,4.166725557297468e-05,0.0030534814577549696,-0.004090114030987024,-0.013465169817209244,0.0016945439856499434
1773946669.2152655,9.65845538303256e-05,-8.31280995043926e-05,0.0031160146463662386,-0.0055602118372917175,-0.013453204184770584,0.001863456447608769
1773946669.215272,0.00021346214634831995,-0.0005493752541951835,0.0034636391792446375,-0.0070398347452282906,-0.015126231126487255,-0.0009111706749536097
1773946669.2153766,2.2515205273521133e-05,-0.00012670079013332725,0.0021732482127845287,-0.003949691075831652,-0.011958430521190166,-0.0001319924194831401
1773946669.2153835,6.774447683710605e-05,-0.0004840242909267545,0.002086671069264412,-0.005586602725088596,-0.010615133680403233,-0.0014769427943974733
1773946669.215447,-0.00018618574540596455,-0.0014475040370598435,0.001994634512811899,-0.005217873025685549,-0.008515160530805588,-0.004673781339079142
1773946669.2154963,0.0005551018984988332,-0.0009473663521930575,0.002091502072289586,-0.004376642871648073,-0.012278331443667412,-0.006332589779049158
1773946669.2155588,0.00012892681115772575,-0.0013178889639675617,0.0012574016582220793,-0.0049658664502203465,-0.01270071417093277,-0.0054175895638763905
1773946669.2155852,-0.00057635159464553,-0.0018129381351172924,0.0015765336574986577,-0.007595887407660484,-0.011263792403042316,-0.008692401461303234
1773946669.215665,-0.0008577462285757065,-0.0013589574955403805,0.0010510192951187491,-0.006164128892123699,-0.009092787280678749,-0.005072134546935558
