timestamp (s), Fx, Fy, Fz, Tx, Ty, Tz
1773947617.520687,-0.0031574901659041643,-0.010052255354821682,-0.00408549839630723,-0.1504843384027481,0.15451042354106903,0.12936890125274658
1773947617.5207055,-0.003244582796469331,-0.010786673054099083,-0.004833152052015066,-0.14984671771526337,0.15859653055667877,0.12670303881168365
1773947617.5207133,-0.0022381043527275324,-0.009857785888016224,-0.0043472046963870525,-0.1464191973209381,0.15746988356113434,0.12877421081066132
1773947617.5208912,-0.002478122478350997,-0.010002797469496727,-0.004690332803875208,-0.145411878824234,0.1582832634449005,0.12844838201999664
1773947617.5209057,-0.002579101826995611,-0.010526338592171669,-0.0036943554878234863,-0.14786149561405182,0.1571921408176422,0.126181498169899
1773947617.521024,-0.002529397141188383,-0.010769456624984741,-0.002910021925345063,-0.14990542829036713,0.15329235792160034,0.12368103861808777
1773947617.5210383,-0.0024097273126244545,-0.010738465934991837,-0.0033077660482376814,-0.14738914370536804,0.15542587637901306,0.12353768199682236
1773947617.5211658,-0.0027051307260990143,-0.011372337117791176,-0.0051140864379704,-0.14892742037773132,0.16038230061531067,0.1229579821228981
1773947617.5211806,-0.002932307543233037,-0.011892449110746384,-0.005388287827372551,-0.14921241998672485,0.16154441237449646,0.12123847752809525
1773947617.5211878,-0.002865794114768505,-0.011564894579350948,-0.004822047892957926,-0.14815449714660645,0.1625034511089325,0.12108774483203888
1773947617.521194,-0.003471189644187689,-0.01217310968786478,-0.006095339078456163,-0.14848527312278748,0.16696517169475555,0.1215873584151268
1773947617.5213273,-0.0033442568965256214,-0.011581724509596825,-0.005788402631878853,-0.15010063350200653,0.1650082916021347,0.12464872747659683
1773947617.5213418,-0.00450138607993722,-0.012467484921216965,-0.006339447107166052,-0.15023566782474518,0.16721707582473755,0.12301190197467804
1773947617.5213492,-0.004104073159396648,-0.011691608466207981,-0.006725085899233818,-0.14612534642219543,0.1698184609413147,0.12403186410665512
1773947617.5214524,-0.004099021200090647,-0.011649541556835175,-0.007645049132406712,-0.1445760577917099,0.1723271906375885,0.12430478632450104
1773947617.5216603,-0.0037624372635036707,-0.010734493844211102,-0.007749685551971197,-0.14218363165855408,0.17290958762168884,0.12734149396419525
1773947617.5216784,-0.0038377398159354925,-0.011192303150892258,-0.006592246703803539,-0.14676806330680847,0.16882853209972382,0.12548965215682983
1773947617.5216858,-0.0037483081687241793,-0.01053735800087452,-0.006401589140295982,-0.14467382431030273,0.1685982197523117,0.12561096251010895
1773947617.5219042,-0.0034889238886535168,-0.009906068444252014,-0.0054681915789842606,-0.1438448578119278,0.1649320423603058,0.12681879103183746
1773947617.5219185,-0.0036330032162368298,-0.010161311365664005,-0.005691947881132364,-0.1428159773349762,0.1658460646867752,0.1279662847518921
1773947617.5219257,-0.0031357889529317617,-0.009980924427509308,-0.004963257350027561,-0.14348404109477997,0.16190524399280548,0.12710189819335938
