timestamp,angle_rad,angle_deg
1761337052.2008615,-0.0001907377737087046,-0.01092846942723013
1761337052.2013395,-0.0001907377737087046,-0.01092846942723013
1761337052.201696,-0.0001907377737087046,-0.01092846942723013
1761337052.2020786,-0.0001907377737087046,-0.01092846942723013
1761337052.2023857,-0.0001907377737087046,-0.01092846942723013
1761337052.20274,-0.0005722133211261138,-0.03278540828169039
1761337052.2031453,-0.0005722133211261138,-0.03278540828169039
1761337052.2034225,-0.0005722133211261138,-0.03278540828169039
1761337052.2038453,-0.000953688868543523,-0.05464234713615065
1761337052.2041063,-0.000953688868543523,-0.05464234713615065
1761337052.2045135,-0.0013351644159609322,-0.0764992859906109
1761337052.2048743,-0.0013351644159609322,-0.0764992859906109
1761337052.2052083,-0.0017166399633783413,-0.09835622484507116
1761337052.205503,-0.0020981155107957505,-0.12021316369953142
1761337052.2057712,-0.0020981155107957505,-0.12021316369953142
1761337052.2061162,-0.0020981155107957505,-0.12021316369953142
1761337052.2064044,-0.0024795910582131597,-0.14207010255399166
1761337052.2067313,-0.002861066605630569,-0.16392704140845193
1761337052.2069993,-0.003242542153047978,-0.18578398026291218
1761337052.2073092,-0.0036240177004653873,-0.20764091911737245
1761337052.2076807,-0.0040054932478827965,-0.2294978579718327
1761337052.2080202,-0.004386968795300206,-0.25135479682629297
1761337052.208366,-0.004768444342717615,-0.27321173568075324
1761337052.2086253,-0.005149919890135024,-0.29506867453521346
1761337052.2089603,-0.005531395437552433,-0.31692561338967373
1761337052.2092774,-0.005912870984969842,-0.338782552244134
1761337052.2095072,-0.006294346532387252,-0.3606394910985943
1761337052.209884,-0.006675822079804661,-0.3824964299530545
1761337052.2100472,-0.00705729762722207,-0.40435336880751477
1761337052.210459,-0.007820248722056888,-0.44806724651643526
1761337052.2107599,-0.008201724269474298,-0.46992418537089553
1761337052.210998,-0.008583199816891707,-0.4917811242253558
1761337052.2113402,-0.008964675364309116,-0.5136380630798161
1761337052.2115576,-0.009346150911726525,-0.5354950019342763
1761337052.2118433,-0.009727626459143934,-0.5573519407887366
1761337052.212093,-0.010109102006561344,-0.5792088796431968
1761337052.2123353,-0.010490577553978753,-0.6010658184976571
1761337052.2125823,-0.010872053101396162,-0.6229227573521173
1761337052.212828,-0.011253528648813571,-0.6447796962065776
1761337052.2130783,-0.01163500419623098,-0.6666366350610379
1761337052.213341,-0.01201647974364839,-0.6884935739154981
1761337052.2135844,-0.012779430838483208,-0.7322074516244186
1761337052.213828,-0.012779430838483208,-0.7322074516244186
1761337052.2141047,-0.013160906385900617,-0.7540643904788789
1761337052.2143068,-0.013923857480735435,-0.7977782681877994
1761337052.2146099,-0.014305333028152845,-0.8196352070422597
1761337052.2148726,-0.014686808575570254,-0.84149214589672
1761337052.215167,-0.015068284122987663,-0.8633490847511802
1761337052.2154324,-0.015449759670405072,-0.8852060236056404
1761337052.2157052,-0.01621271076523989,-0.9289199013145609
1761337052.216035,-0.0165941863126573,-0.9507768401690212
1761337052.2161891,-0.01697566186007471,-0.9726337790234815
1761337052.2165413,-0.017738612954909527,-1.016347656732402
1761337052.2167864,-0.017738612954909527,-1.016347656732402
1761337052.2170603,-0.018501564049744346,-1.0600615344413225
1761337052.2173045,-0.018883039597161755,-1.0819184732957827
1761337052.2175536,-0.019264515144579164,-1.103775412150243
1761337052.2178247,-0.020027466239413982,-1.1474892898591635
1761337052.2180748,-0.02040894178683139,-1.1693462287136238
1761337052.2183347,-0.0207904173342488,-1.191203167568084
1761337052.2185674,-0.02117189288166621,-1.2130601064225444
1761337052.2189188,-0.02155336842908362,-1.2349170452770046
1761337052.2191353,-0.022316319523918438,-1.2786309229859252
1761337052.219397,-0.023079270618753256,-1.3223448006948455
1761337052.219657,-0.023460746166170665,-1.3442017395493058
1761337052.2199173,-0.023842221713588074,-1.366058678403766
1761337052.2201748,-0.024223697261005483,-1.3879156172582263
1761337052.2204182,-0.024605172808422893,-1.4097725561126866
1761337052.2206817,-0.02536812390325771,-1.4534864338216071
1761337052.220918,-0.02574959945067512,-1.4753433726760674
1761337052.2211742,-0.02613107499809253,-1.4972003115305277
1761337052.2214174,-0.026894026092927348,-1.5409141892394482
1761337052.221678,-0.027275501640344757,-1.5627711280939085
1761337052.221952,-0.028038452735179575,-1.6064850058028288
1761337052.2221825,-0.028038452735179575,-1.6064850058028288
1761337052.2224534,-0.028801403830014394,-1.6501988835117494
1761337052.22267,-0.029182879377431803,-1.6720558223662096
1761337052.2229793,-0.02994583047226662,-1.7157697000751302
1761337052.2232046,-0.03032730601968403,-1.7376266389295905
1761337052.2234986,-0.03109025711451885,-1.781340516638511
1761337052.2237556,-0.03147173266193626,-1.8031974554929713
1761337052.223972,-0.032234683756771076,-1.8469113332018918
1761337052.2243466,-0.032616159304188486,-1.868768272056352
1761337052.2245908,-0.032997634851605895,-1.8906252109108124
1761337052.2249427,-0.03376058594644071,-1.9343390886197327
1761337052.2251978,-0.03452353704127553,-1.9780529663286532
1761337052.2254927,-0.03528648813611035,-2.021766844037574
1761337052.2257311,-0.03566796368352776,-2.043623782892034
1761337052.2260475,-0.03643091477836258,-2.0873376606009546
1761337052.2263048,-0.03681239032577999,-2.1091945994554147
1761337052.2266042,-0.037193865873197396,-2.131051538309875
1761337052.2268257,-0.037956816968032214,-2.1747654160187957
1761337052.2271087,-0.03871976806286703,-2.2184792937277162
1761337052.227373,-0.03910124361028444,-2.2403362325821763
1761337052.22763,-0.03986419470511926,-2.284050110291097
1761337052.2279282,-0.04062714579995408,-2.3277639880000174
