timestamp,disk index,disk_0 x (m),disk_0 y (m),disk_0 z (m),disk_0 rotX (rad),disk_0 rotY (rad),disk_0 rotZ (rad),disk index,disk_1 x (m),disk_1 y (m),disk_1 z (m),disk_1 rotX (rad),disk_1 rotY (rad),disk_1 rotZ (rad),disk index,disk_2 x (m),disk_2 y (m),disk_2 z (m),disk_2 rotX (rad),disk_2 rotY (rad),disk_2 rotZ (rad),disk index,disk_3 x (m),disk_3 y (m),disk_3 z (m),disk_3 rotX (rad),disk_3 rotY (rad),disk_3 rotZ (rad),disk index,disk_4 x (m),disk_4 y (m),disk_4 z (m),disk_4 rotX (rad),disk_4 rotY (rad),disk_4 rotZ (rad)
1763417614.4094567,0.0,0.8552663838641149,-0.0007042752168470733,0.14778417819200682,0.02361733900116779,-0.0019120959362455142,0.0018594891145997975,1.0,0.8587972256144609,0.00046951414655470026,0.26675187919623894,-0.04749178447149817,0.029735589200748463,0.0058643398572395065,2.0,0.8595282706601165,0.0012244619321735537,0.3867763344394506,-0.00569874193404732,-0.002491034661007436,-0.012525868435697434,3.0,0.8609598550540267,0.005212659632355264,0.5058202173869105,0.042979130832407286,0.0013241278288438913,-0.023030270774844725,4.0,0.8639909439567733,0.007095500383571295,0.6254625341423627,-0.015256881765248555,0.01076949210551053,-0.05212830548275449
1763417614.4193513,0.0,0.8552674724670303,-0.0006980822983134721,0.14779270846226758,0.023742594261975083,-0.0018163659192661204,0.00228398174927589,1.0,0.8588404460510716,0.0005404328447316763,0.2667564379396336,-0.04812026072547438,0.029950410006779088,0.0060432504264961535,2.0,0.8595463078204039,0.0013168971045945082,0.38678457422667667,-0.005493652608695108,-0.0017455693162317905,-0.012565779908706628,3.0,0.8609881836621629,0.005259845054681245,0.5058333845287738,0.04308440359430855,0.0013806899255223637,-0.02291940518283307,4.0,0.8640271735806474,0.007105073974664803,0.625468654852175,-0.014451174609673878,0.011061876294998635,-0.05187442846446905
1763417614.4293056,0.0,0.8552617914989861,-0.0006746209251438222,0.1478052170590613,0.023492492532904575,-0.001204237389209458,0.0021447148705876842,1.0,0.8588059822399444,0.0005773058956863951,0.26674839127537836,-0.04814289081584391,0.029777871250989036,0.005967548191089233,2.0,0.8595458532725576,0.0013749969018846946,0.3867764427993858,-0.005287819869519286,-0.002079309883075396,-0.01279066217126703,3.0,0.8609725303073927,0.005269087523583126,0.5058112947678509,0.04415391441452341,0.001164236737020175,-0.023179086511570333,4.0,0.8640168184303857,0.007044568660070231,0.6254590410997016,-0.014079529507598802,0.010561049579645763,-0.052010370734879824
1763417614.4392421,0.0,0.8552174879604142,-0.0007119292245078334,0.1477945272216279,0.023367111648370298,-0.0007462419936739296,0.0020592692081670624,1.0,0.8587743206272235,0.0005702811369093617,0.26673580250766626,-0.04808857529023949,0.029867375090059625,0.005757312856411549,2.0,0.8595417160154635,0.0014010248116722581,0.38673648035909586,-0.005394024305573873,-0.0029039756894914406,-0.012159181342675655,3.0,0.8609476696819143,0.0052744871324609515,0.5057802413802861,0.04437159114835412,0.0011997653688135843,-0.023612847922525767,4.0,0.8639401546298765,0.006888399811286071,0.6254325397757722,-0.01232983031829977,0.01065522847260615,-0.05232143437350237
1763417614.449405,0.0,0.8551950200034871,-0.0007505775759361427,0.1478199623850178,0.022602652880630722,0.00028627360357365354,0.001959964021629495,1.0,0.8587575239641759,0.0005247222641857476,0.26672161245085424,-0.04845683292205607,0.03002827853207472,0.005524297732201572,2.0,0.8595346709910434,0.0014009649346176612,0.38673501148632405,-0.005401134871157125,-0.002680916682311642,-0.012758924381337963,3.0,0.8609579482800501,0.005239561551856341,0.5057618879723468,0.04466394561461047,0.0008446830528456548,-0.023274341463530527,4.0,0.8639414146777845,0.006829917363953153,0.6254401911481036,-0.011963468872680912,0.010200314652320465,-0.05250527466685036
1763417614.4591966,0.0,0.855220721154357,-0.0007223496983794894,0.14782746615288506,0.023401182149844706,0.0001004311274273,0.0021506941723897516,1.0,0.858797409289404,0.0005800315601889678,0.2667440243969954,-0.04840563928245869,0.03028869669796249,0.005648385376767623,2.0,0.8595629358966219,0.001469899049586086,0.38678561281302326,-0.005668490109069659,-0.002545337276827719,-0.012624687852602939,3.0,0.8609626626430018,0.00527503849415823,0.5057882786652683,0.045469849078148175,0.0009398073778714937,-0.023595899391636577,4.0,0.8639452009983625,0.006836936411271772,0.6254514388615081,-0.011828477415742732,0.010053217637330244,-0.05216821057830112
1763417614.4692397,0.0,0.8552514266031358,-0.0006967372441645986,0.1478654198174286,0.023295344500298566,-0.0007553103559441456,0.0020262088785171417,1.0,0.8588232820100578,0.000628306683277937,0.2667862064377251,-0.04878679284483509,0.030659326621961025,0.005589992961383047,2.0,0.8596154722553673,0.0015324399420339405,0.3868053946217487,-0.005754309806380345,-0.0022414564573754563,-0.013250490863908565,3.0,0.8610150276189551,0.005337936711189535,0.5058546940131775,0.045188024825840147,0.000914044461677673,-0.023454965056754356,4.0,0.8639836201368281,0.006883909428941708,0.6254598452051482,-0.012942778626330115,0.010176708455814781,-0.052494769130975845
1763417614.4792187,0.0,0.8552622418933751,-0.0006800924640685595,0.14790101508935768,0.023998622239474385,-0.0012922450639733872,0.0020563014763159532,1.0,0.8588538970159463,0.0006543253065347392,0.26682809622843734,-0.048997670368265446,0.03051142427522368,0.005743972758263813,2.0,0.8596160065541515,0.0015156699615827011,0.38684596876729604,-0.005360587082804186,-0.001397715515779667,-0.013441176258056737,3.0,0.8610566071590322,0.005343734933916227,0.5058891175213936,0.04456976398736265,0.0011962108049238555,-0.02357472580152141,4.0,0.8640540592188796,0.006981158679013751,0.6255005534464894,-0.014770022105481426,0.009508555455579512,-0.052456824928749965
1763417614.4892852,0.0,0.8552821211138236,-0.0006796680346632341,0.14785891391719702,0.024054286508914363,-0.0016335744015578291,0.001683128985851717,1.0,0.8588528356360617,0.0005910959293413662,0.26681145579928905,-0.04857187612181599,0.030354282862691435,0.005768841493657683,2.0,0.8595949950012203,0.0014101720365729414,0.3868172353687243,-0.005446364492349654,-0.0017968719970031673,-0.013207010000470835,3.0,0.8610493327162432,0.005291046496461188,0.5058588618207583,0.04418067787953434,0.0009820979484904276,-0.023108899720320025,4.0,0.864055176027084,0.006971607633291705,0.6254410422423029,-0.0158216712843612,0.009551261181524148,-0.0525620863032963
1763417614.4993207,0.0,0.8552315736275837,-0.0007546683670695174,0.147790977793336,0.023131887438902782,-0.0008330363986385718,0.0021175627442922926,1.0,0.8587918725939594,0.0004600260559131091,0.2667368440140188,-0.04756218072488453,0.029877006868130943,0.005440949999369684,2.0,0.8595750341590637,0.0012941424765078723,0.3867266141645288,-0.006032642740996644,-0.002462866381732037,-0.013019091308275122,3.0,0.8610162601493342,0.005219670796910288,0.5057967293767187,0.0440017484476463,0.0015549005378003087,-0.023795190610897687,4.0,0.8639980800102486,0.006922636605976565,0.625351037879976,-0.01653309411844996,0.009960483857209008,-0.052025550995571976
