timestamp,angle_rad,angle_deg
1761339418.2257438,-1.5539406424048217,-89.03424042364416
1761339418.2265108,-1.5539406424048217,-89.03424042364416
1761339418.227702,-1.5539406424048217,-89.03424042364416
1761339418.2286596,-1.5531776913099868,-88.99052654593524
1761339418.229707,-1.5520332646677346,-88.92495572937186
1761339418.2305129,-1.5508888380254824,-88.85938491280848
1761339418.2312946,-1.5497444113832302,-88.7938140962451
1761339418.2319522,-1.5482185091935605,-88.70638634082727
1761339418.2325947,-1.5470740825513083,-88.64081552426389
1761339418.233242,-1.5455481803616387,-88.55338776884604
1761339418.233803,-1.544022278171969,-88.4659600134282
1761339418.2343776,-1.5424963759822994,-88.37853225801035
1761339418.2350664,-1.5413519493400472,-88.31296144144697
1761339418.2357407,-1.5390630960555427,-88.18181980832021
1761339418.236303,-1.537537193865873,-88.09439205290238
1761339418.2368815,-1.535629816128786,-87.98510735863007
1761339418.237436,-1.5344853894865338,-87.9195365420667
1761339418.2379448,-1.5329594872968642,-87.83210878664885
1761339418.2384727,-1.531052109559777,-87.72282409237656
1761339418.2389498,-1.5295262073701075,-87.6353963369587
1761339418.2394404,-1.5280003051804378,-87.54796858154087
1761339418.2399147,-1.5264744029907682,-87.46054082612302
1761339418.2404027,-1.5249485008010986,-87.37311307070519
1761339418.2408721,-1.523422598611429,-87.28568531528734
1761339418.2413547,-1.5215152208743419,-87.17640062101505
1761339418.2418098,-1.5199893186846722,-87.0889728655972
1761339418.2422454,-1.5184634164950026,-87.00154511017936
1761339418.2426963,-1.516937514305333,-86.91411735476152
1761339418.2431874,-1.5154116121156633,-86.82668959934368
1761339418.2436895,-1.5135042343785763,-86.71740490507138
1761339418.244164,-1.5119783321889066,-86.62997714965354
1761339418.244609,-1.5100709544518196,-86.52069245538124
1761339418.2450962,-1.50854505226215,-86.43326469996339
1761339418.245541,-1.506637674525063,-86.3239800056911
1761339418.246019,-1.5047302967879759,-86.2146953114188
1761339418.2464943,-1.5032043945983062,-86.12726755600094
1761339418.2469769,-1.5012970168612192,-86.01798286172865
1761339418.2475219,-1.4993896391241321,-85.90869816745635
1761339418.248035,-1.4967193102922103,-85.75569959547512
1761339418.248543,-1.4948119325551232,-85.64641490120283
1761339418.2490032,-1.4929045548180362,-85.53713020693053
1761339418.2494802,-1.4909971770809491,-85.42784551265822
1761339418.2499728,-1.489089799343862,-85.31856081838592
1761339418.2504635,-1.487182421606775,-85.20927612411361
1761339418.2509158,-1.4848935683222706,-85.07813449098686
1761339418.2513988,-1.4829861905851836,-84.96884979671455
1761339418.251853,-1.480697337300679,-84.83770816358779
1761339418.2522902,-1.4791714351110095,-84.75028040816996
1761339418.2527726,-1.476882581826505,-84.6191387750432
1761339418.2532682,-1.474975204089418,-84.50985408077089
1761339418.2537434,-1.473067826352331,-84.40056938649859
1761339418.2541857,-1.4707789730678265,-84.26942775337183
1761339418.254621,-1.4688715953307394,-84.16014305909952
1761339418.2551048,-1.466582742046235,-84.02900142597277
1761339418.25555,-1.464675364309148,-83.91971673170046
1761339418.256026,-1.4623865110246435,-83.7885750985737
1761339418.256516,-1.460097657740139,-83.65743346544694
1761339418.257019,-1.4578088044556345,-83.52629183232018
1761339418.2575002,-1.456282902265965,-83.43886407690233
1761339418.2579532,-1.4539940489814605,-83.30772244377557
1761339418.2584355,-1.4513237201495386,-83.15472387179436
1761339418.2589376,-1.4494163424124515,-83.04543917752206
1761339418.2593696,-1.447127489127947,-82.9142975443953
1761339418.2598648,-1.4448386358434426,-82.78315591126854
1761339418.2603464,-1.4421683070115208,-82.63015733928731
1761339418.2608361,-1.4402609292744337,-82.520872645015
1761339418.2613115,-1.4379720759899293,-82.38973101188824
1761339418.261789,-1.4356832227054248,-82.25858937876149
1761339418.262273,-1.433012893873503,-82.10559080678026
1761339418.2626855,-1.431105516136416,-81.99630611250797
1761339418.263163,-1.4291981383993289,-81.88702141823566
1761339418.2636254,-1.4269092851148244,-81.7558797851089
1761339418.264121,-1.4242389562829025,-81.60288121312767
1761339418.2646205,-1.4215686274509807,-81.44988264114646
1761339418.2653742,-1.4192797741664762,-81.3187410080197
1761339418.2659163,-1.4150835431448847,-81.07831468062064
1761339418.2664564,-1.4124132143129629,-80.92531610863941
1761339418.2669747,-1.4101243610284584,-80.79417447551265
1761339418.2674522,-1.4074540321965365,-80.64117590353142
1761339418.2679498,-1.4047837033646147,-80.4881773315502
1761339418.2684357,-1.4021133745326928,-80.33517875956898
1761339418.268869,-1.4002059967956058,-80.22589406529669
1761339418.2693546,-1.397535667963684,-80.07289549331546
1761339418.26981,-1.3952468146791794,-79.9417538601887
1761339418.270243,-1.392957961394675,-79.81061222706194
1761339418.270708,-1.3906691081101705,-79.67947059393518
1761339418.271186,-1.3879987792782487,-79.52647202195395
1761339418.2717311,-1.3857099259937442,-79.39533038882719
1761339418.2722094,-1.3830395971618223,-79.24233181684598
1761339418.2726865,-1.3803692683299005,-79.08933324486475
1761339418.2731626,-1.378080415045396,-78.95819161173799
1761339418.2736042,-1.3754100862134742,-78.80519303975676
1761339418.2740817,-1.3727397573815523,-78.65219446777554
1761339418.2745452,-1.3708323796444652,-78.54290977350324
1761339418.2750316,-1.367780575265126,-78.36805426266756
1761339418.275517,-1.365110246433204,-78.21505569068634
1761339418.2760282,-1.3624399176012822,-78.06205711870511
1761339418.276503,-1.3597695887693604,-77.9090585467239
1761339418.2770393,-1.3570992599374385,-77.75605997474267
1761339418.277519,-1.3544289311055167,-77.60306140276145
1761339418.2780302,-1.3517586022735948,-77.45006283078023
1761339418.2786002,-1.348325322346838,-77.25335038109009
1761339418.2791052,-1.3456549935149162,-77.10035180910886
1761339418.279539,-1.3437476157778292,-76.99106711483657
1761339418.2800298,-1.3410772869459073,-76.83806854285534
1761339418.2805266,-1.338025482566568,-76.66321303201966
1761339418.2810266,-1.3353551537346462,-76.51021446003844
1761339418.281528,-1.3326848249027243,-76.35721588805721
1761339418.2820387,-1.3300144960708025,-76.204217316076
1761339418.2825282,-1.3273441672388806,-76.05121874409477
1761339418.283024,-1.3242923628595413,-75.87636323325908
1761339418.2834988,-1.3216220340276195,-75.72336466127787
1761339418.283953,-1.319333180743115,-75.59222302815111
1761339418.2844393,-1.3166628519111931,-75.43922445616988
1761339418.284914,-1.3143739986266887,-75.30808282304312
1761339418.2853546,-1.3117036697947668,-75.15508425106191
1761339418.28581,-1.309033340962845,-75.00208567908068
1761339418.2862492,-1.306363012130923,-74.84908710709946
1761339418.2867193,-1.3040741588464186,-74.71794547397269
1761339418.2872167,-1.3014038300144968,-74.56494690199148
1761339418.2876928,-1.2983520256351575,-74.39009139115579
1761339418.2881663,-1.2956816968032356,-74.23709281917456
1761339418.288604,-1.2933928435187312,-74.1059511860478
1761339418.289039,-1.2911039902342267,-73.97480955292104
1761339418.2895231,-1.2880521858548875,-73.79995404208536
1761339418.2900243,-1.2853818570229656,-73.64695547010415
1761339418.290515,-1.2827115281910437,-73.49395689812292
1761339418.2910173,-1.2800411993591219,-73.3409583261417
1761339418.2914603,-1.2773708705272,-73.18795975416047
1761339418.2919688,-1.2747005416952781,-73.03496118217926
1761339418.2925425,-1.2712672617685215,-72.83824873248912
1761339418.2930195,-1.2685969329365996,-72.68525016050789
1761339418.2934942,-1.2663080796520951,-72.55410852738113
1761339418.293951,-1.2632562752727559,-72.37925301654545
1761339418.2944398,-1.260585946440834,-72.22625444456423
1761339418.294913,-1.2575341420614947,-72.05139893372855
1761339418.2953541,-1.2552452887769903,-71.92025730060179
1761339418.2958097,-1.2529564354924858,-71.78911566747502
1761339418.2962878,-1.2499046311131448,-71.61426015663923
1761339418.2967982,-1.247234302281223,-71.46126158465802
1761339418.2973201,-1.2441824979018836,-71.28640607382233
1761339418.2977872,-1.2415121690699618,-71.1334075018411
1761339418.298276,-1.2384603646906225,-70.95855199100544
1761339418.298785,-1.2357900358587006,-70.8055534190242
1761339418.299295,-1.2327382314793613,-70.63069790818852
1761339418.2997746,-1.229686427100022,-70.45584239735284
1761339418.3002653,-1.2270160982681002,-70.30284382537162
1761339418.3007429,-1.2247272449835958,-70.17170219224487
1761339418.3011856,-1.2216754406042565,-69.99684668140918
1761339418.301694,-1.2190051117723346,-69.84384810942795
1761339418.302208,-1.2159533073929953,-69.66899259859227
1761339418.3027205,-1.212901503013656,-69.4941370877566
1761339418.3032017,-1.2102311741817342,-69.34113851577537
1761339418.303704,-1.207179369802395,-69.16628300493969
1761339418.304158,-1.204509040970473,-69.01328443295847
1761339418.3045983,-1.2018387121385512,-68.86028586097724
1761339418.3050642,-1.1995498588540467,-68.72914422785048
1761339418.305495,-1.1968795300221249,-68.57614565586927
1761339418.3059516,-1.194209201190203,-68.42314708388804
1761339418.306445,-1.1911573968108637,-68.24829157305236
1761339418.306939,-1.1884870679789419,-68.09529300107114
1761339418.3074136,-1.1854352635996026,-67.92043749023546
1761339418.307884,-1.1831464103150982,-67.7892958571087
1761339418.3083532,-1.1800946059357589,-67.61444034627301
1761339418.308856,-1.177424277103837,-67.46144177429179
1761339418.3093321,-1.1747539482719151,-67.30844320231057
1761339418.3098156,-1.1717021438925759,-67.13358769147489
1761339418.3102887,-1.1686503395132366,-66.9587321806392
1761339418.3107758,-1.1659800106813147,-66.80573360865799
1761339418.3112652,-1.1629282063019755,-66.6308780978223
1761339418.31171,-1.160639353017471,-66.49973646469553
1761339418.312191,-1.1575875486381317,-66.32488095385986
1761339418.312685,-1.1549172198062099,-66.17188238187863
1761339418.3131628,-1.152246890974288,-66.01888380989742
1761339418.31364,-1.1491950865949487,-65.84402829906173
1761339418.3141778,-1.1465247577630269,-65.6910297270805
1761339418.3147047,-1.1430914778362702,-65.49431727739037
1761339418.315186,-1.140039673456931,-65.31946176655468
1761339418.3156881,-1.137369344625009,-65.16646319457347
1761339418.3161983,-1.1343175402456698,-64.99160768373778
1761339418.3167012,-1.1312657358663305,-64.8167521729021
1761339418.3171864,-1.1282139314869912,-64.64189666206642
1761339418.3176317,-1.1259250782024868,-64.51075502893966
1761339418.3181055,-1.1228732738231475,-64.33589951810397
1761339418.3186507,-1.1198214694438082,-64.16104400726829
1761339418.31919,-1.116769665064469,-63.98618849643261
1761339418.3196864,-1.1137178606851297,-63.81133298559693
1761339418.3201666,-1.1110475318532078,-63.658334413615705
1761339418.3206053,-1.108377203021286,-63.50533584163448
1761339418.3210819,-1.1053253986419467,-63.3304803307988
1761339418.3215277,-1.1026550698100248,-63.17748175881758
1761339418.3220253,-1.099984740978103,-63.024483186836356
1761339418.3225155,-1.0969329365987637,-62.84962767600067
1761339418.3230178,-1.0942626077668418,-62.69662910401945
1761339418.323494,-1.09159227893492,-62.54363053203823
1761339418.323961,-1.0885404745555807,-62.36877502120255
1761339418.32444,-1.0854886701762414,-62.19391951036687
1761339418.3249125,-1.083199816891737,-62.0627778772401
1761339418.3253543,-1.0801480125123977,-61.887922366404425
1761339418.325813,-1.0778591592278932,-61.75678073327766
1761339418.3262908,-1.074807354848554,-61.58192522244198
1761339418.3267875,-1.0717555504692147,-61.4070697116063
1761339418.3272657,-1.0687037460898754,-61.23221420077061
1761339418.3277452,-1.066414892805371,-61.101072567643854
1761339418.3281848,-1.0633630884260317,-60.92621705680817
1761339418.32862,-1.0606927595941098,-60.77321848482695
1761339418.3291051,-1.058022430762188,-60.62021991284573
1761339418.329539,-1.055352101930266,-60.467221340864505
1761339418.3300624,-1.0523002975509268,-60.29236583002882
1761339418.3307157,-1.0492484931715875,-60.117510319193144
1761339418.3312361,-1.0454337376974134,-59.89894093064854
1761339418.3317075,-1.0427634088654916,-59.74594235866732
1761339418.3321915,-1.0393301289387349,-59.549229908977175
1761339418.3327231,-1.0362783245593956,-59.37437439814149
1761339418.3331945,-1.0336079957274737,-59.22137582616027
1761339418.3337014,-1.0309376668955519,-59.06837725417905
1761339418.3341706,-1.0275043869687952,-58.87166480448891
1761339418.3348126,-1.0248340581368733,-58.71866623250769
1761339418.3353517,-1.0206378271152818,-58.47823990510862
1761339418.3358698,-1.01796749828336,-58.3252413331274
1761339418.3363683,-1.0149156939040207,-58.15038582229172
1761339418.3368633,-1.0118638895246814,-57.97553031145603
1761339418.3373458,-1.0088120851453422,-57.80067480062036
1761339418.3378274,-1.0065232318608377,-57.66953316749359
1761339418.3382826,-1.0034714274814984,-57.49467765665791
1761339418.3387446,-1.0004196231021592,-57.31982214582223
1761339418.3391855,-0.9981307698176547,-57.18868051269547
1761339418.3396204,-0.9954604409857328,-57.03568194071425
1761339418.340112,-0.992790112153811,-56.882683368733026
1761339418.3405821,-0.9901197833218891,-56.729684796751805
1761339418.341038,-0.9870679789425498,-56.55482928591612
1761339418.3414993,-0.984397650110628,-56.4018307139349
1761339418.3420196,-0.9809643701838713,-56.20511826424475
1761339418.342541,-0.977912565804532,-56.030262753409076
1761339418.343017,-0.9752422369726101,-55.877264181427854
1761339418.3434944,-0.9725719081406883,-55.72426560944663
1761339418.3439562,-0.9699015793087664,-55.57126703746541
1761339418.3444352,-0.9668497749294271,-55.39641152662973
1761339418.3449125,-0.9641794460975053,-55.243412954648505
1761339418.3453546,-0.9615091172655834,-55.090414382667284
1761339418.3458538,-0.9588387884336615,-54.93741581068606
1761339418.3463366,-0.9557869840543223,-54.76256029985038
1761339418.3468065,-0.9531166552224004,-54.609561727869156
1761339418.347471,-0.9493018997482263,-54.390992339324555
1761339418.34803,-0.9454871442740522,-54.17242295077995
1761339418.3485272,-0.942435339894713,-53.99756743994427
1761339418.3490222,-0.9393835355153737,-53.822711929108586
1761339418.3495302,-0.9363317311360344,-53.64785641827291
1761339418.3500154,-0.9336614023041125,-53.49485784629169
1761339418.350544,-0.9306095979247733,-53.320002335456
1761339418.351065,-0.927557793545434,-53.14514682462032
1761339418.3515606,-0.9245059891660947,-52.970291313784635
1761339418.3520176,-0.9218356603341729,-52.81729274180341
1761339418.3524504,-0.919165331502251,-52.66429416982219
1761339418.3529496,-0.9161135271229117,-52.489438658986515
1761339418.3534346,-0.9130617227435724,-52.31458314815083
1761339418.3538678,-0.910772869459068,-52.18344151502407
1761339418.354354,-0.9077210650797287,-52.00858600418839
