timestamp,home_angle_rad,angle_deg,velocity
1761603175.1605344,0.0,0.0,-0.025177386129549006
1761603175.160952,0.0,0.0,0.04989700160219712
1761603175.1611702,0.0003814755474174092,0.021856938854455166,0.042572671091782865
1761603175.1614559,0.0,0.0,0.021515220874341878
1761603175.161703,0.0,0.0,0.012359807736324058
1761603175.1619542,0.0,0.0,0.025177386129549006
1761603175.1622293,0.0,0.0,0.00869764248111693
1761603175.1624475,0.0,0.0,-0.01327534905012584
1761603175.1627746,0.0,0.0,-0.060883497367818507
1761603175.16295,0.0,0.0,-0.09475852597848444
1761603175.163258,0.0,0.0,-0.1277180132753486
1761603175.1635401,-0.0003814755474174092,-0.021856938854483587,-0.14419775692378067
1761603175.1637917,-0.0003814755474174092,-0.021856938854483587,-0.1689173723964288
1761603175.164051,-0.0003814755474174092,-0.021856938854483587,-0.21011673151750898
1761603175.164251,-0.0003814755474174092,-0.021856938854483587,-0.24399176012817492
1761603175.164581,-0.0003814755474174092,-0.021856938854483587,-0.21103227283131076
1761603175.1648173,-0.0003814755474174092,-0.021856938854483587,-0.19180590524147334
1761603175.165092,-0.0007629510948348184,-0.04371387770893875,-0.2504005493247874
1761603175.1653633,-0.0007629510948348184,-0.04371387770893875,-0.2806134126802462
1761603175.165587,-0.0007629510948348184,-0.04371387770893875,-0.30899519340810144
1761603175.1658337,-0.0007629510948348184,-0.04371387770893875,-0.25680933852139987
1761603175.166085,-0.0007629510948348184,-0.04371387770893875,-0.2796978713664444
1761603175.1663315,-0.0011444266422522276,-0.06557081656339392,-0.31357289997711035
1761603175.1666138,-0.0011444266422522276,-0.06557081656339392,-0.38956282902265826
1761603175.1668825,-0.0015259021896696368,-0.08742775541784908,-0.4298466468299367
1761603175.167089,-0.0015259021896696368,-0.08742775541784908,-0.45181963836117944
1761603175.1673965,-0.001907377737087046,-0.10928469427230425,-0.47287708857862043
1761603175.1676877,-0.0015259021896696368,-0.08742775541784908,-0.4545662623025848
1761603175.167919,-0.001907377737087046,-0.10928469427230425,-0.4335088120851438
1761603175.168203,-0.001907377737087046,-0.10928469427230425,-0.4335088120851438
1761603175.168429,-0.001907377737087046,-0.10928469427230425,-0.4225223163195224
1761603175.1687005,-0.002288853284504455,-0.13114163312678784,-0.4527351796749812
1761603175.1689372,-0.002288853284504455,-0.13114163312678784,-0.41611352712290994
1761603175.1692135,-0.002288853284504455,-0.13114163312678784,-0.4380865186541527
1761603175.169432,-0.002288853284504455,-0.13114163312678784,-0.41062027924009925
1761603175.169688,-0.0026703288319218643,-0.152998571981243,-0.4234378576333242
1761603175.1699224,-0.0026703288319218643,-0.152998571981243,-0.43167772945754024
1761603175.1702142,-0.0026703288319218643,-0.152998571981243,-0.46646829938200796
1761603175.1704447,-0.0030518043793392735,-0.17485551083569817,-0.4582284275577919
1761603175.1707194,-0.0030518043793392735,-0.17485551083569817,-0.49210345616845785
1761603175.170946,-0.0030518043793392735,-0.17485551083569817,-0.502174410620281
1761603175.171225,-0.0034332799267566827,-0.19671244969015333,-0.49118791485465607
1761603175.171452,-0.0034332799267566827,-0.19671244969015333,-0.4756237125200258
1761603175.1716967,-0.0034332799267566827,-0.19671244969015333,-0.4271000228885313
1761603175.172026,-0.0034332799267566827,-0.19671244969015333,-0.4179446097505135
1761603175.1722426,-0.003814755474174092,-0.2185693885446085,-0.4179446097505135
1761603175.172504,-0.004196231021591501,-0.24042632739906367,-0.4802014190890347
1761603175.1730094,-0.004196231021591501,-0.24042632739906367,-0.5452048523689648
1761603175.173158,-0.004196231021591501,-0.24042632739906367,-0.536049439230947
1761603175.1734872,-0.00457770656900891,-0.26228326625354725,-0.5195696955825149
1761603175.1737332,-0.00457770656900891,-0.26228326625354725,-0.5635156786450004
1761603175.1740236,-0.0049591821164263195,-0.2841402051080024,-0.5717555504692164
1761603175.1742508,-0.0049591821164263195,-0.2841402051080024,-0.5790798809796307
1761603175.1744668,-0.0049591821164263195,-0.2841402051080024,-0.544289311055163
1761603175.1747558,-0.005340657663843729,-0.3059971439624576,-0.581826504921036
1761603175.1750224,-0.005340657663843729,-0.3059971439624576,-0.6019684138246753
1761603175.1752691,-0.005722133211261138,-0.32785408281691275,-0.6697184710460071
1761603175.1758387,-0.005722133211261138,-0.32785408281691275,-0.6678873884184036
1761603175.1759558,-0.006103608758678547,-0.3497110216713679,-0.6294346532387287
1761603175.1763976,-0.006485084306095956,-0.3715679605258515,-0.6349279011215394
1761603175.1766303,-0.006485084306095956,-0.3715679605258515,-0.6440833142595572
1761603175.1768982,-0.006866559853513365,-0.39342489938030667,-0.6852826733806374
1761603175.1771555,-0.006866559853513365,-0.39342489938030667,-0.7237354085603123
1761603175.1774273,-0.007248035400930775,-0.41528183823476184,-0.7594415197985818
1761603175.1776996,-0.007248035400930775,-0.41528183823476184,-0.7539482719157711
1761603175.177921,-0.007629510948348184,-0.437138777089217,-0.7484550240329604
1761603175.1781774,-0.007629510948348184,-0.437138777089217,-0.7612726024261853
1761603175.1783977,-0.008010986495765593,-0.45899571594367217,-0.7804989700160228
1761603175.1787136,-0.008392462043183002,-0.48085265479812733,-0.7804989700160228
1761603175.1789432,-0.008392462043183002,-0.48085265479812733,-0.8033875028610673
1761603175.1792157,-0.008392462043183002,-0.48085265479812733,-0.7859922178988334
1761603175.1794422,-0.008392462043183002,-0.48085265479812733,-0.7750057221332121
1761603175.179719,-0.008773937590600411,-0.5027095936526109,-0.6999313344014659
1761603175.1800232,-0.00915541313801782,-0.5245665325070661,-0.7219043259327087
