timestamp,home_angle_rad,angle_deg,velocity,tension
1761348362.3538816,0.0003814755474174092,0.02185693885446227,0.009613183794918712,
1761348362.3544478,0.0003814755474174092,0.02185693885446227,0.009613183794918712,
1761348362.3547258,0.0,0.0,-0.04165712977798108,
1761348362.3551993,0.0003814755474174092,0.02185693885446227,-0.11581597619592543,
1761348362.3555784,0.0,0.0,-0.07095445181963811,
1761348362.355891,0.0,0.0,-0.033417257953765045,
1761348362.3562882,0.0003814755474174092,0.02185693885446227,-0.025177386129549006,
1761348362.3566074,0.0003814755474174092,0.02185693885446227,0.024261844815747224,
1761348362.3570623,0.0,0.0,-0.015106431677729404,
1761348362.3572912,0.0,0.0,-0.037994964522773955,
1761348362.3576906,0.0003814755474174092,0.02185693885446227,-0.028839551384756135,
1761348362.357963,0.0,0.0,-0.028839551384756135,
1761348362.358298,0.0003814755474174092,0.02185693885446227,0.03524834058136861,
1761348362.3585763,0.0003814755474174092,0.02185693885446227,0.04348821240558465,
1761348362.3588576,0.0,0.0,0.05722133211261138,
1761348362.359182,0.0003814755474174092,0.02185693885446227,0.04348821240558465,
1761348362.3594444,0.0003814755474174092,0.02185693885446227,0.05905241474021494,
1761348362.3598387,0.0003814755474174092,0.02185693885446227,0.0764476997024488,
1761348362.3601012,0.0003814755474174092,0.02185693885446227,0.042572671091782865,
1761348362.3605022,0.0003814755474174092,0.02185693885446227,0.06179903868162029,
1761348362.3607392,0.0003814755474174092,0.02185693885446227,0.10666056305790761,
1761348362.3611293,0.0003814755474174092,0.02185693885446227,0.1478599221789878,
1761348362.3613672,0.0003814755474174092,0.02185693885446227,0.1332112611581593,
1761348362.3617432,0.0007629510948348184,0.04371387770892099,0.1121538109407183,
1761348362.362016,0.0007629510948348184,0.04371387770892099,0.13595788509956463,
1761348362.3623178,0.0007629510948348184,0.04371387770892099,0.1533531700617985,
1761348362.3626237,0.0007629510948348184,0.04371387770892099,0.10299839780270048,
1761348362.3629236,0.0007629510948348184,0.04371387770892099,0.12314030670633969,
1761348362.3636758,0.0011444266422522276,0.06557081656338326,0.24124513618676957,
1761348362.364275,0.0011444266422522276,0.06557081656338326,0.21286335545891433,
1761348362.364804,0.0015259021896696368,0.08742775541784198,0.33829251544975847,
1761348362.3653173,0.0015259021896696368,0.08742775541784198,0.3428702220187674,
1761348362.365805,0.001907377737087046,0.1092846942723007,0.2806134126802462,
1761348362.3663206,0.002288853284504455,0.13114163312676297,0.4234378576333242,
1761348362.3667893,0.002288853284504455,0.13114163312676297,0.5140764476997042,
1761348362.3673205,0.0026703288319218643,0.1529985719812217,0.47745479514762934,
1761348362.3677895,0.0030518043793392735,0.17485551083568396,0.5094987411306953,
1761348362.368326,0.0034332799267566827,0.19671244969014268,0.5937285420004592,
1761348362.3687997,0.0034332799267566827,0.19671244969014268,0.6468299382009626,
1761348362.369321,0.003814755474174092,0.21856938854460495,0.581826504921036,
1761348362.3698056,0.00457770656900891,0.26228326625352594,0.6816205081254303,
1761348362.3703187,0.00457770656900891,0.26228326625352594,0.724650949874114,
1761348362.3708284,0.0049591821164263195,0.28414020510798466,0.7576104371709782,
1761348362.3713202,0.005722133211261138,0.32785408281690565,0.8711375600823992,
1761348362.3717892,0.005722133211261138,0.32785408281690565,0.8052185854886709,
1761348362.3723211,0.006485084306095956,0.37156796052582663,0.7685969329365996,
1761348362.372841,0.006866559853513365,0.39342489938028535,0.9132524605172812,
1761348362.3733158,0.007629510948348184,0.43713877708920634,0.9379720759899293,
1761348362.373791,0.008010986495765593,0.45899571594366506,0.8986037994964526,
1761348362.3743181,0.008392462043183002,0.48085265479812733,0.8940260929274437,
1761348362.3748052,0.008773937590600411,0.502709593652586,0.9022659647516598,
1761348362.3753526,0.00915541313801782,0.5245665325070483,0.9159990844586865,
1761348362.3758838,0.009918364232852639,0.5682804102159693,1.0075532158388647,
1761348362.3764012,0.010681315327687457,0.6119942879248867,1.0725566491187912,
1761348362.3768764,0.011062790875104866,0.633851226779349,1.120164797436484,
1761348362.3774009,0.011444266422522276,0.6557081656338077,1.0835431448844126,
1761348362.377877,0.011825741969939685,0.67756510448827,1.0414282444495306,
1761348362.378405,0.012970168612191912,0.7431359210516497,1.140306706340123,
1761348362.3788762,0.013351644159609322,0.7649928599061084,1.1961547264820318,
1761348362.3794017,0.01373311970702673,0.7868497987605707,1.120164797436484,
1761348362.3799214,0.01449607080186155,0.8305636764694917,1.1650263218127712,
1761348362.3805213,0.015259021896696368,0.8742775541784127,1.2172121766994728,
1761348362.3810637,0.016021972991531186,0.9179914318873337,1.2556649118791476,
1761348362.381642,0.016784924086366004,0.9617053095962511,1.2730601968413815,
1761348362.382172,0.017166399633783413,0.9835622484507134,1.2520027466239405,
1761348362.3826518,0.017929350728618232,1.0272761261596344,1.2657358663309672,
1761348362.3832328,0.01869230182345305,1.0709900038685554,1.2693980315861744,
1761348362.383727,0.01945525291828787,1.1147038815774728,1.2684824902723726,
1761348362.38431,0.019836728465705278,1.136560820431935,1.2721446555275797,
1761348362.3848538,0.020599679560540096,1.180274698140856,1.2236209658960853,
1761348362.385392,0.021744106202792324,1.2458455147042358,1.2858777752346064,
1761348362.3859146,0.022125581750209733,1.2677024535586945,1.3408102540627134,
1761348362.386402,0.02288853284504455,1.3114163312676155,1.31334401464866,
1761348362.3869169,0.02365148393987937,1.3551302089765365,1.300526436255435,
1761348362.3874052,0.024414435034714188,1.3988440866854575,1.3710231174181722,
1761348362.3879147,0.025177386129549006,1.4425579643943784,1.4406042572671076,
